Country,Year,Emission,Category
Australia,2014,10787.35014,Hydrofluorocarbons (Co2 Equivilent)
Australia,2013,10034.12762,Hydrofluorocarbons (Co2 Equivilent)
Australia,2012,9353.066412,Hydrofluorocarbons (Co2 Equivilent)
Australia,2011,8837.850581,Hydrofluorocarbons (Co2 Equivilent)
Australia,2010,8166.067244,Hydrofluorocarbons (Co2 Equivilent)
Australia,2009,7468.944106,Hydrofluorocarbons (Co2 Equivilent)
Australia,2008,6832.226745,Hydrofluorocarbons (Co2 Equivilent)
Australia,2007,6143.734777,Hydrofluorocarbons (Co2 Equivilent)
Australia,2006,5456.520671,Hydrofluorocarbons (Co2 Equivilent)
Australia,2005,5002.482722,Hydrofluorocarbons (Co2 Equivilent)
Australia,2004,4266.921254,Hydrofluorocarbons (Co2 Equivilent)
Australia,2003,3578.35151,Hydrofluorocarbons (Co2 Equivilent)
Australia,2002,2926.730457,Hydrofluorocarbons (Co2 Equivilent)
Australia,2001,2305.928964,Hydrofluorocarbons (Co2 Equivilent)
Australia,2000,1613.200712,Hydrofluorocarbons (Co2 Equivilent)
Australia,1999,1374.29311,Hydrofluorocarbons (Co2 Equivilent)
Australia,1998,998.2895798,Hydrofluorocarbons (Co2 Equivilent)
Australia,1997,705.2283181,Hydrofluorocarbons (Co2 Equivilent)
Australia,1996,414.1706378,Hydrofluorocarbons (Co2 Equivilent)
Australia,1995,1004.032111,Hydrofluorocarbons (Co2 Equivilent)
Australia,1994,1027.343549,Hydrofluorocarbons (Co2 Equivilent)
Australia,1993,1829.872,Hydrofluorocarbons (Co2 Equivilent)
Australia,1992,1333.184,Hydrofluorocarbons (Co2 Equivilent)
Australia,1991,1424.68352,Hydrofluorocarbons (Co2 Equivilent)
Australia,1990,1424.68352,Hydrofluorocarbons (Co2 Equivilent)
Austria,2014,1642.800765,Hydrofluorocarbons (Co2 Equivilent)
Austria,2013,1602.596437,Hydrofluorocarbons (Co2 Equivilent)
Austria,2012,1612.466143,Hydrofluorocarbons (Co2 Equivilent)
Austria,2011,1535.800747,Hydrofluorocarbons (Co2 Equivilent)
Austria,2010,1483.190742,Hydrofluorocarbons (Co2 Equivilent)
Austria,2009,1308.202186,Hydrofluorocarbons (Co2 Equivilent)
Austria,2008,1248.532251,Hydrofluorocarbons (Co2 Equivilent)
Austria,2007,1195.890376,Hydrofluorocarbons (Co2 Equivilent)
Austria,2006,1152.466321,Hydrofluorocarbons (Co2 Equivilent)
Austria,2005,1145.809662,Hydrofluorocarbons (Co2 Equivilent)
Austria,2004,1158.343592,Hydrofluorocarbons (Co2 Equivilent)
Austria,2003,1072.191814,Hydrofluorocarbons (Co2 Equivilent)
Austria,2002,968.7769159,Hydrofluorocarbons (Co2 Equivilent)
Austria,2001,863.101239,Hydrofluorocarbons (Co2 Equivilent)
Austria,2000,713.626554,Hydrofluorocarbons (Co2 Equivilent)
Austria,1999,701.821024,Hydrofluorocarbons (Co2 Equivilent)
Austria,1998,610.3392316,Hydrofluorocarbons (Co2 Equivilent)
Austria,1997,500.8283867,Hydrofluorocarbons (Co2 Equivilent)
Austria,1996,420.7861129,Hydrofluorocarbons (Co2 Equivilent)
Austria,1995,357.9315198,Hydrofluorocarbons (Co2 Equivilent)
Austria,1994,261.1055906,Hydrofluorocarbons (Co2 Equivilent)
Austria,1993,235.2647866,Hydrofluorocarbons (Co2 Equivilent)
Austria,1992,5.636486392,Hydrofluorocarbons (Co2 Equivilent)
Austria,1991,3.88944,Hydrofluorocarbons (Co2 Equivilent)
Austria,1990,2.43756,Hydrofluorocarbons (Co2 Equivilent)
Belgium,2014,2811.79733,Hydrofluorocarbons (Co2 Equivilent)
Belgium,2013,2703.012406,Hydrofluorocarbons (Co2 Equivilent)
Belgium,2012,2733.360881,Hydrofluorocarbons (Co2 Equivilent)
Belgium,2011,2614.050442,Hydrofluorocarbons (Co2 Equivilent)
Belgium,2010,2508.714714,Hydrofluorocarbons (Co2 Equivilent)
Belgium,2009,2391.456871,Hydrofluorocarbons (Co2 Equivilent)
Belgium,2008,2206.761473,Hydrofluorocarbons (Co2 Equivilent)
Belgium,2007,2079.103244,Hydrofluorocarbons (Co2 Equivilent)
