Country,Year,Emission,Category
Australia,2014,192.5359906,Perfluorocarbons (Co2 Equivilent)
Australia,2013,192.0012359,Perfluorocarbons (Co2 Equivilent)
Australia,2012,294.882947,Perfluorocarbons (Co2 Equivilent)
Australia,2011,301.3048395,Perfluorocarbons (Co2 Equivilent)
Australia,2010,283.3152346,Perfluorocarbons (Co2 Equivilent)
Australia,2009,358.5519811,Perfluorocarbons (Co2 Equivilent)
Australia,2008,444.5166936,Perfluorocarbons (Co2 Equivilent)
Australia,2007,582.676819,Perfluorocarbons (Co2 Equivilent)
Australia,2006,687.0598418,Perfluorocarbons (Co2 Equivilent)
Australia,2005,1791.70112,Perfluorocarbons (Co2 Equivilent)
Australia,2004,1713.848706,Perfluorocarbons (Co2 Equivilent)
Australia,2003,1683.984775,Perfluorocarbons (Co2 Equivilent)
Australia,2002,1727.623153,Perfluorocarbons (Co2 Equivilent)
Australia,2001,1801.881974,Perfluorocarbons (Co2 Equivilent)
Australia,2000,1287.061789,Perfluorocarbons (Co2 Equivilent)
Australia,1999,1139.058757,Perfluorocarbons (Co2 Equivilent)
Australia,1998,1660.51882,Perfluorocarbons (Co2 Equivilent)
Australia,1997,1228.150898,Perfluorocarbons (Co2 Equivilent)
Australia,1996,1410.395058,Perfluorocarbons (Co2 Equivilent)
Australia,1995,1530.835665,Perfluorocarbons (Co2 Equivilent)
Australia,1994,2164.428749,Perfluorocarbons (Co2 Equivilent)
Australia,1993,3315.528376,Perfluorocarbons (Co2 Equivilent)
Australia,1992,4603.282544,Perfluorocarbons (Co2 Equivilent)
Australia,1991,4610.743294,Perfluorocarbons (Co2 Equivilent)
Australia,1990,4607.012919,Perfluorocarbons (Co2 Equivilent)
Austria,2014,53.028514,Perfluorocarbons (Co2 Equivilent)
Austria,2013,49.22899,Perfluorocarbons (Co2 Equivilent)
Austria,2012,50.715244,Perfluorocarbons (Co2 Equivilent)
Austria,2011,73.51273,Perfluorocarbons (Co2 Equivilent)
Austria,2010,78.048961,Perfluorocarbons (Co2 Equivilent)
Austria,2009,36.02206,Perfluorocarbons (Co2 Equivilent)
Austria,2008,208.1864855,Perfluorocarbons (Co2 Equivilent)
Austria,2007,230.332465,Perfluorocarbons (Co2 Equivilent)
Austria,2006,172.3869125,Perfluorocarbons (Co2 Equivilent)
Austria,2005,163.2852,Perfluorocarbons (Co2 Equivilent)
Austria,2004,157.57325,Perfluorocarbons (Co2 Equivilent)
Austria,2003,126.38302,Perfluorocarbons (Co2 Equivilent)
Austria,2002,101.9749779,Perfluorocarbons (Co2 Equivilent)
Austria,2001,116.3374279,Perfluorocarbons (Co2 Equivilent)
Austria,2000,87.86564,Perfluorocarbons (Co2 Equivilent)
Austria,1999,79.18290969,Perfluorocarbons (Co2 Equivilent)
Austria,1998,55.53114267,Perfluorocarbons (Co2 Equivilent)
Austria,1997,117.471744,Perfluorocarbons (Co2 Equivilent)
Austria,1996,80.25417,Perfluorocarbons (Co2 Equivilent)
Austria,1995,83.34963,Perfluorocarbons (Co2 Equivilent)
Austria,1994,70.956369,Perfluorocarbons (Co2 Equivilent)
Austria,1993,63.52011,Perfluorocarbons (Co2 Equivilent)
Austria,1992,510.473091,Perfluorocarbons (Co2 Equivilent)
Austria,1991,1192.617422,Perfluorocarbons (Co2 Equivilent)
Austria,1990,1182.786803,Perfluorocarbons (Co2 Equivilent)
Belgium,2014,306.9644112,Perfluorocarbons (Co2 Equivilent)
Belgium,2013,431.5911168,Perfluorocarbons (Co2 Equivilent)
Belgium,2012,278.2095921,Perfluorocarbons (Co2 Equivilent)
Belgium,2011,225.503226,Perfluorocarbons (Co2 Equivilent)
Belgium,2010,106.6144069,Perfluorocarbons (Co2 Equivilent)
Belgium,2009,145.9211067,Perfluorocarbons (Co2 Equivilent)
Belgium,2008,253.1035577,Perfluorocarbons (Co2 Equivilent)
Belgium,2007,224.057261,Perfluorocarbons (Co2 Equivilent)
Belgium,2006,199.9070997,Perfluorocarbons (Co2 Equivilent)
Belgium,2005,192.7701996,Perfluorocarbons (Co2 Equivilent)
Belgium,2004,378.3332811,Perfluorocarbons (Co2 Equivilent)
Belgium,2003,259.0311254,Perfluorocarbons (Co2 Equivilent)
Belgium,2002,101.0567562,Perfluorocarbons (Co2 Equivilent)
Belgium,2001,275.8402562,Perfluorocarbons (Co2 Equivilent)
Belgium,2000,446.1100273,Perfluorocarbons (Co2 Equivilent)
Belgium,1999,428.7468874,Perfluorocarbons (Co2 Equivilent)
Belgium,1998,843.8664929,Perfluorocarbons (Co2 Equivilent)
Belgium,1997,1528.918539,Perfluorocarbons (Co2 Equivilent)
Belgium,1996,2766.91383,Perfluorocarbons (Co2 Equivilent)
Belgium,1995,2914.28531,Perfluorocarbons (Co2 Equivilent)
Belgium,1994,2637.36937,Perfluorocarbons (Co2 Equivilent)
Belgium,1993,2195.90067,Perfluorocarbons (Co2 Equivilent)
Belgium,1992,2284.7677,Perfluorocarbons (Co2 Equivilent)
Belgium,1991,2096.42035,Perfluorocarbons (Co2 Equivilent)
Belgium,1990,2191.04861,Perfluorocarbons (Co2 Equivilent)
Bulgaria,2014,0.032885848,Perfluorocarbons (Co2 Equivilent)
Bulgaria,2013,0.039087503,Perfluorocarbons (Co2 Equivilent)
Bulgaria,2012,0.046483135,Perfluorocarbons (Co2 Equivilent)
Bulgaria,2011,0.055308339,Perfluorocarbons (Co2 Equivilent)
Bulgaria,2010,0.063742887,Perfluorocarbons (Co2 Equivilent)
Bulgaria,2009,0.05586741,Perfluorocarbons (Co2 Equivilent)
Bulgaria,2008,0.0206622,Perfluorocarbons (Co2 Equivilent)
Canada,2014,1088.036843,Perfluorocarbons (Co2 Equivilent)
Canada,2013,1617.104726,Perfluorocarbons (Co2 Equivilent)
Canada,2012,1798.64305,Perfluorocarbons (Co2 Equivilent)
