Country,Year,Emission,Category
Australia,2014,129.605354,Sulphur Hexafluoride (Co2 Equivilent)
Australia,2013,128.9446037,Sulphur Hexafluoride (Co2 Equivilent)
Australia,2012,127.5521681,Sulphur Hexafluoride (Co2 Equivilent)
Australia,2011,125.0019448,Sulphur Hexafluoride (Co2 Equivilent)
Australia,2010,121.0316537,Sulphur Hexafluoride (Co2 Equivilent)
Australia,2009,119.4510961,Sulphur Hexafluoride (Co2 Equivilent)
Australia,2008,151.1097127,Sulphur Hexafluoride (Co2 Equivilent)
Australia,2007,162.2184108,Sulphur Hexafluoride (Co2 Equivilent)
Australia,2006,172.513887,Sulphur Hexafluoride (Co2 Equivilent)
Australia,2005,182.064019,Sulphur Hexafluoride (Co2 Equivilent)
Australia,2004,207.7594614,Sulphur Hexafluoride (Co2 Equivilent)
Australia,2003,206.2877456,Sulphur Hexafluoride (Co2 Equivilent)
Australia,2002,202.4834148,Sulphur Hexafluoride (Co2 Equivilent)
Australia,2001,196.5343596,Sulphur Hexafluoride (Co2 Equivilent)
Australia,2000,190.6519354,Sulphur Hexafluoride (Co2 Equivilent)
Australia,1999,196.067201,Sulphur Hexafluoride (Co2 Equivilent)
Australia,1998,223.3185135,Sulphur Hexafluoride (Co2 Equivilent)
Australia,1997,248.4762475,Sulphur Hexafluoride (Co2 Equivilent)
Australia,1996,269.6522103,Sulphur Hexafluoride (Co2 Equivilent)
Australia,1995,302.307983,Sulphur Hexafluoride (Co2 Equivilent)
Australia,1994,282.6408961,Sulphur Hexafluoride (Co2 Equivilent)
Australia,1993,264.7591563,Sulphur Hexafluoride (Co2 Equivilent)
Australia,1992,246.8588488,Sulphur Hexafluoride (Co2 Equivilent)
Australia,1991,228.9448336,Sulphur Hexafluoride (Co2 Equivilent)
Australia,1990,211.0185114,Sulphur Hexafluoride (Co2 Equivilent)
Austria,2014,312.9596646,Sulphur Hexafluoride (Co2 Equivilent)
Austria,2013,304.8690045,Sulphur Hexafluoride (Co2 Equivilent)
Austria,2012,311.8792436,Sulphur Hexafluoride (Co2 Equivilent)
Austria,2011,307.3486854,Sulphur Hexafluoride (Co2 Equivilent)
Austria,2010,335.8706445,Sulphur Hexafluoride (Co2 Equivilent)
