Country,Year,Geothermal Capacity (Megawatts)
Africa,1990,45
Africa,1995,45
Africa,2000,65.3
Africa,2001,65.3
Africa,2002,65.3
Africa,2003,65.3
Africa,2004,135.3
Africa,2005,135.3
Africa,2006,135.3
Africa,2007,135.3
Africa,2008,135.3
Africa,2009,170.3
Africa,2010,205.3
Africa,2011,205.3
Africa,2012,212.8
Africa,2013,212.8
Africa,2014,373.4
Africa,2015,611.3
Africa,2016,645.3
Africa,2017,655.3
Africa,2018,671.3
Africa,2019,831.3
Africa,2020,831
Asia Pacific,1990,1393.4
Asia Pacific,1995,1859.5
Asia Pacific,2000,3344.7
Asia Pacific,2001,3603.7
Asia Pacific,2002,3559.7
Asia Pacific,2003,3592.6
Asia Pacific,2004,3607.6
Asia Pacific,2005,3722.7
Asia Pacific,2006,3719.6
Asia Pacific,2007,3887.6
Asia Pacific,2008,4104.7
Asia Pacific,2009,4284.7
Asia Pacific,2010,4384
Asia Pacific,2011,4417.7
Asia Pacific,2012,4502.7
Asia Pacific,2013,4582
Asia Pacific,2014,4833.55
Asia Pacific,2015,4892.85
Asia Pacific,2016,4997.85
Asia Pacific,2017,5227.85
Asia Pacific,2018,5391.85
Asia Pacific,2019,5617.6
Asia Pacific,2020,5650
CIS,2000,23
CIS,2001,21
CIS,2002,70
CIS,2003,70
CIS,2004,56
CIS,2005,79
CIS,2006,87
CIS,2007,90
CIS,2008,80
CIS,2009,81
CIS,2010,81
CIS,2011,81
CIS,2012,81
CIS,2013,79
CIS,2014,78
CIS,2015,78
CIS,2016,78
CIS,2017,78
CIS,2018,78
CIS,2019,74
CIS,2020,74
Chile,1990,0
Chile,1995,0
Chile,2000,0
Chile,2001,0
Chile,2002,0
Chile,2003,0
Chile,2004,0
Chile,2005,0
Chile,2006,0
Chile,2007,0
Chile,2008,0
Chile,2009,0
Chile,2010,0
Chile,2011,0
Chile,2012,0
Chile,2013,0
Chile,2014,0
Chile,2015,0
Chile,2016,0
Chile,2017,24
Chile,2018,48
Chile,2019,39.7
Chile,2020,40
China,1990,29.3
China,1995,26.3
China,2000,21.7
China,2001,21.7
China,2002,21.7
China,2003,21.7
China,2004,21.7
China,2005,21.7
China,2006,21.7
China,2007,21.7
China,2008,24.8
China,2009,24.8
China,2010,24.1
China,2011,26.2
China,2012,26.2
China,2013,26
China,2014,25.95
China,2015,25.75
China,2016,25.75
China,2017,25.75
China,2018,25.75
China,2019,26
China,2020,26
Costa Rica,1990,0
Costa Rica,1995,55
Costa Rica,2000,145
Costa Rica,2001,145
Costa Rica,2002,144.7
Costa Rica,2003,162.7
Costa Rica,2004,165.7
Costa Rica,2005,165.7
Costa Rica,2006,165.7
Costa Rica,2007,165.7
Costa Rica,2008,165.7
Costa Rica,2009,165.7
Costa Rica,2010,165.7
Costa Rica,2011,217.5
Costa Rica,2012,217.5
Costa Rica,2013,217.5
Costa Rica,2014,217.5
Costa Rica,2015,217.36
Costa Rica,2016,206.86
Costa Rica,2017,206.86
Costa Rica,2018,206.86
Costa Rica,2019,261.86
Costa Rica,2020,262
Croatia,1990,0
Croatia,1995,0
Croatia,2000,0
Croatia,2001,0
Croatia,2002,0
Croatia,2003,0
