Country,Year,Solar Capacity (Gigawatts)
Africa,1996,0.001012425
Africa,1997,0.003037276
Africa,1998,0.005062126
Africa,1999,0.008099402
Africa,2000,0.010927
Africa,2001,0.013029
Africa,2002,0.015243
Africa,2003,0.018019
Africa,2004,0.021996
Africa,2005,0.025965
Africa,2006,0.034268
Africa,2007,0.046656
Africa,2008,0.063367
Africa,2009,0.106838
Africa,2010,0.193825
Africa,2011,0.266352
Africa,2012,0.323352
Africa,2013,0.659787
Africa,2014,1.564868
Africa,2015,1.931458
Africa,2016,2.974232
Africa,2017,4.691427
Africa,2018,7.096161
Africa,2019,8.276541
Africa,2020,9.505
Algeria,1996,0
Algeria,1997,0
Algeria,1998,0
Algeria,1999,0
Algeria,2000,0
Algeria,2001,0
Algeria,2002,0
Algeria,2003,0
Algeria,2004,0
Algeria,2005,0
Algeria,2006,0
Algeria,2007,0
Algeria,2008,0
Algeria,2009,0
Algeria,2010,0
Algeria,2011,0
Algeria,2012,0
Algeria,2013,0
Algeria,2014,0.0011
Algeria,2015,0.0491
Algeria,2016,0.2191
Algeria,2017,0.4
Algeria,2018,0.423
Algeria,2019,0.423
Algeria,2020,0.423
Argentina,1996,0
Argentina,1997,0
Argentina,1998,0
Argentina,1999,0
Argentina,2000,0
Argentina,2001,0
Argentina,2002,0
Argentina,2003,0
Argentina,2004,0
Argentina,2005,0
Argentina,2006,0
Argentina,2007,0
Argentina,2008,0
Argentina,2009,0
Argentina,2010,0
Argentina,2011,0.001
Argentina,2012,0.006
Argentina,2013,0.008
Argentina,2014,0.008
Argentina,2015,0.009
Argentina,2016,0.009
Argentina,2017,0.009
Argentina,2018,0.191
Argentina,2019,0.442
Argentina,2020,0.764
Asia Pacific,1996,0.077
Asia Pacific,1997,0.1125
Asia Pacific,1998,0.162
Asia Pacific,1999,0.246
Asia Pacific,2000,0.39601
Asia Pacific,2001,0.53516
Asia Pacific,2002,0.745891
Asia Pacific,2003,0.989885
Asia Pacific,2004,1.285492
Asia Pacific,2005,1.659016
Asia Pacific,2006,2.038083
Asia Pacific,2007,2.359999
Asia Pacific,2008,2.990907
Asia Pacific,2009,4.278042
Asia Pacific,2010,7.310291
Asia Pacific,2011,12.112334
Asia Pacific,2012,19.837848
Asia Pacific,2013,39.110974
Asia Pacific,2014,61.577005
Asia Pacific,2015,90.590444
Asia Pacific,2016,143.158157
Asia Pacific,2017,213.586336
Asia Pacific,2018,282.514423
Asia Pacific,2019,340.999853
Asia Pacific,2020,422.583
Australia,1996,0.016
Australia,1997,0.019
Australia,1998,0.023
Australia,1999,0.025
Australia,2000,0.026148
Australia,2001,0.030635
Australia,2002,0.035822
Australia,2003,0.041066
Australia,2004,0.048412
Australia,2005,0.054911
Australia,2006,0.06427
Australia,2007,0.076708
Australia,2008,0.089376
Australia,2009,0.337405
Australia,2010,1.099341
Australia,2011,2.491227
Australia,2012,3.799
Australia,2013,4.605787
Australia,2014,5.352693
Australia,2015,6.07399
Australia,2016,6.854201
Australia,2017,7.570817
Australia,2018,8.875764
Australia,2019,13.564899
Australia,2020,17.625
Austria,1996,0.0017
Austria,1997,0.0022
Austria,1998,0.0029
Austria,1999,0.0037
Austria,2000,0.005
Austria,2001,0.007
Austria,2002,0.009
Austria,2003,0.023
Austria,2004,0.027
Austria,2005,0.021
Austria,2006,0.0224
Austria,2007,0.0242
Austria,2008,0.0301
Austria,2009,0.0489
Austria,2010,0.0888
Austria,2011,0.1741
Austria,2012,0.337
Austria,2013,0.626
Austria,2014,0.785246
Austria,2015,0.937098
Austria,2016,1.096016
Austria,2017,1.268971
Austria,2018,1.455
Austria,2019,1.702
Austria,2020,2.22
Belgium,1996,0
Belgium,1997,0
Belgium,1998,0
Belgium,1999,0
Belgium,2000,0
Belgium,2001,0
Belgium,2002,0.001
Belgium,2003,0.001
Belgium,2004,0.001
Belgium,2005,0.002
Belgium,2006,0.002
Belgium,2007,0.02
Belgium,2008,0.062
Belgium,2009,0.386
Belgium,2010,1.0069
Belgium,2011,1.9791
Belgium,2012,2.6465
Belgium,2013,2.9024
Belgium,2014,3.0152
Belgium,2015,3.1317
Belgium,2016,3.327
Belgium,2017,3.621
Belgium,2018,4
Belgium,2019,4.637
Belgium,2020,5.646
Brazil,1996,0
Brazil,1997,0
Brazil,1998,0
Brazil,1999,0
Brazil,2000,0
Brazil,2001,0
Brazil,2002,0
Brazil,2003,0
Brazil,2004,0
Brazil,2005,0
Brazil,2006,0
Brazil,2007,0
Brazil,2008,0
Brazil,2009,0
Brazil,2010,0.001
Brazil,2011,0.002
Brazil,2012,0.003
Brazil,2013,0.008
Brazil,2014,0.02
Brazil,2015,0.041
Brazil,2016,0.148
Brazil,2017,1.296
Brazil,2018,2.47
Brazil,2019,4.615
Brazil,2020,7.881
Bulgaria,1996,0
Bulgaria,1997,0
Bulgaria,1998,0
Bulgaria,1999,0
Bulgaria,2000,0
Bulgaria,2001,0
Bulgaria,2002,0
Bulgaria,2003,0
Bulgaria,2004,0
Bulgaria,2005,0
