Country,Year,Biofuels Production (TwH)
Africa,1990,0.068616723
Africa,1991,0.068616723
Africa,1992,0.068804714
Africa,1993,0.068616723
Africa,1994,0.068616723
Africa,1995,0.068616723
Africa,1996,0.068804714
Africa,1997,0.102925084
Africa,1998,0.102925084
Africa,1999,0.068616723
Africa,2000,0.068804714
Africa,2001,0.068616723
Africa,2002,0.320697644
Africa,2003,0.331282947
Africa,2004,0.365431634
Africa,2005,0.419992538
Africa,2006,0.448393316
Africa,2007,0.454163262
Africa,2008,0.527325906
Africa,2009,3.145031061
Africa,2010,1.111039671
Africa,2011,1.248138293
Africa,2012,1.268738835
Africa,2013,1.293675593
Africa,2014,1.456437809
Africa,2015,1.794097243
Africa,2016,1.84952023
Africa,2017,1.498362002
Africa,2018,1.693087709
Africa,2019,1.699717669
Africa,2020,1.70437443
Argentina,1990,0
Argentina,1991,0
Argentina,1992,0
Argentina,1993,0
Argentina,1994,0
Argentina,1995,0
Argentina,1996,0
Argentina,1997,0
Argentina,1998,0
Argentina,1999,0
Argentina,2000,0.053206035
Argentina,2001,0.106121326
Argentina,2002,0.106121326
Argentina,2003,0.106121326
Argentina,2004,0.10641207
Argentina,2005,0.106121326
Argentina,2006,0.352672341
Argentina,2007,2.007858027
Argentina,2008,7.112290453
Argentina,2009,11.96508749
Argentina,2010,19.89394423
Argentina,2011,25.84481549
Argentina,2012,26.50253736
Argentina,2013,23.83868511
Argentina,2014,30.58442389
Argentina,2015,23.46184454
Argentina,2016,32.76828431
Argentina,2017,36.23187022
Argentina,2018,31.70342867
Argentina,2019,28.55002881
Argentina,2020,17.10328407
Asia Pacific,1990,0
Asia Pacific,1991,0
Asia Pacific,1992,0
Asia Pacific,1993,0
Asia Pacific,1994,0
Asia Pacific,1995,0
Asia Pacific,1996,0
Asia Pacific,1997,0
Asia Pacific,1998,0
Asia Pacific,1999,0
Asia Pacific,2000,0.99766835
Asia Pacific,2001,1.082311505
Asia Pacific,2002,2.876958431
Asia Pacific,2003,6.540716517
Asia Pacific,2004,6.598372647
Asia Pacific,2005,10.47512768
Asia Pacific,2006,17.08787224
Asia Pacific,2007,23.55890147
Asia Pacific,2008,37.82222039
Asia Pacific,2009,39.22726775
Asia Pacific,2010,42.27696628
Asia Pacific,2011,67.80626644
Asia Pacific,2012,81.81829433
Asia Pacific,2013,98.08588561
Asia Pacific,2014,118.4993617
Asia Pacific,2015,98.61999122
Asia Pacific,2016,111.8507945
Asia Pacific,2017,116.3480353
Asia Pacific,2018,152.8278209
Asia Pacific,2019,189.8860619
Asia Pacific,2020,192.5876633
Australia,1990,0
Australia,1991,0
Australia,1992,0
Australia,1993,0
Australia,1994,0
Australia,1995,0
Australia,1996,0
Australia,1997,0
Australia,1998,0
Australia,1999,0
Australia,2000,0
Australia,2001,0
Australia,2002,0
Australia,2003,0.535323085
Australia,2004,0.321809026
Australia,2005,0.320059828
Australia,2006,0.592058682
Australia,2007,1.159329231
Australia,2008,1.879363337
Australia,2009,2.695125884
Australia,2010,2.101781892
Australia,2011,2.542717548
Australia,2012,2.693399332
Australia,2013,2.845891892
Australia,2014,2.989948072
Australia,2015,2.640335528
Australia,2016,1.462264623
Australia,2017,1.235534089
Australia,2018,1.503533483
Australia,2019,1.737465418
Australia,2020,1.663460706
Austria,1990,0.073269
Austria,1991,0.080247
Austria,1992,0.089551
Austria,1993,0.101181
Austria,1994,0.067454
Austria,1995,0.130256
Austria,1996,0.141886
Austria,1997,0.153516
Austria,1998,0.165146
Austria,1999,0.181428
Austria,2000,0.212824139
Austria,2001,0.212242653
Austria,2002,0.265303316
Austria,2003,0.318363979
Austria,2004,0.585266384
Austria,2005,0.848970611
Austria,2006,1.273455917
Austria,2007,2.575904318
Austria,2008,3.095624881
Austria,2009,4.284925547
Austria,2010,4.487388333
Austria,2011,4.459111111
Austria,2012,4.459111111
Austria,2013,4.2805
Austria,2014,3.756333333
Austria,2015,4.356
Austria,2016,4.804666667
Austria,2017,4.472944444
Austria,2018,4.412322222
Austria,2019,4.4228
Austria,2020,4.577222222
Belgium,1990,0
Belgium,1991,0
Belgium,1992,0
Belgium,1993,0
Belgium,1994,0
Belgium,1995,0
Belgium,1996,0
Belgium,1997,0
Belgium,1998,0
Belgium,1999,0
Belgium,2000,0
Belgium,2001,0
Belgium,2002,0
Belgium,2003,0
Belgium,2004,0
Belgium,2005,0
Belgium,2006,0
Belgium,2007,0
Belgium,2008,0
Belgium,2009,1.56630514
Belgium,2010,4.249497331
Belgium,2011,4.906836561
Belgium,2012,5.2025642
Belgium,2013,5.108349569
Belgium,2014,6.6881804
Belgium,2015,4.4912734
Belgium,2016,4.325650569
Belgium,2017,5.181676719
Belgium,2018,4.935504511
Belgium,2019,5.223405161
Belgium,2020,5.2025847
Brazil,1990,65.00527108
Brazil,1991,72.90802233
Brazil,1992,66.79854719
Brazil,1993,64.79952861
Brazil,1994,71.16421897
Brazil,1995,72.52801364
Brazil,1996,80.75185322
Brazil,1997,88.75702047
Brazil,1998,81.04088
Brazil,1999,74.773533
Brazil,2000,61.79519794
Brazil,2001,66.34446531
Brazil,2002,72.80916544
Brazil,2003,83.91704906
Brazil,2004,84.63428442
Brazil,2005,92.56784994
Brazil,2006,102.8018335
Brazil,2007,132.913168
Brazil,2008,166.0387794
Brazil,2009,163.49847
Brazil,2010,181.3416053
Brazil,2011,155.9017571
Brazil,2012,159.6143669
Brazil,2013,185.3761465
Brazil,2014,195.1959398
Brazil,2015,209.4252519
Brazil,2016,197.1377054
Brazil,2017,198.3323774
Brazil,2018,238.3260464
Brazil,2019,254.9016584
Brazil,2020,245.4741931
CIS,1990,0
CIS,1991,0
CIS,1992,0
CIS,1993,0
CIS,1994,0
CIS,1995,0
CIS,1996,0
CIS,1997,0
CIS,1998,0
CIS,1999,0
CIS,2000,0
CIS,2001,0
CIS,2002,0
CIS,2003,0
CIS,2004,0
CIS,2005,0
CIS,2006,0
CIS,2007,0
CIS,2008,0.075140267
CIS,2009,0.234759691
CIS,2010,0.384170301
CIS,2011,0.305000239
CIS,2012,0.332000447
CIS,2013,0.264209204
CIS,2014,0.276886492
CIS,2015,0.218534233
CIS,2016,0.20443296
CIS,2017,0.201241496
CIS,2018,0.141241163
CIS,2019,0.161241274
CIS,2020,0.16167963
Canada,1990,0
Canada,1991,0
Canada,1992,0
Canada,1993,0
Canada,1994,0
Canada,1995,0
Canada,1996,0
Canada,1997,0
Canada,1998,0
Canada,1999,0.577973246
Canada,2000,1.261388187
Canada,2001,1.325938624
Canada,2002,1.35993705
Canada,2003,1.35993705
Canada,2004,1.363662905
Canada,2005,1.495930755
Canada,2006,1.918643041
Canada,2007,5.599985578
Canada,2008,6.008573408
Canada,2009,8.729076397
Canada,2010,9.353596814
Canada,2011,11.03900718
Canada,2012,10.82985344
Canada,2013,11.47761532
Canada,2014,13.43862138
Canada,2015,12.83787354
Canada,2016,13.88855556
Canada,2017,13.8
Canada,2018,13.91911111
Canada,2019,14.79690648
Canada,2020,13.33077502
China,1990,0
China,1991,0
China,1992,0
China,1993,0
China,1994,0
China,1995,0
China,1996,0
China,1997,0
China,1998,0
China,1999,0
China,2000,0
China,2001,0.053060663
China,2002,1.768478733
China,2003,4.856231258
China,2004,5.965345764
China,2005,8.368023592
China,2006,12.2311453
China,2007,13.48425683
China,2008,16.73105895
China,2009,18.28642217
China,2010,17.77460016
China,2011,22.11954271
China,2012,23.68309892
China,2013,26.36081807
China,2014,29.27854994
China,2015,24.93243518
China,2016,23.97870591
China,2017,29.04683961
China,2018,28.01419697
China,2019,33.9185
China,2020,39.45195611
Colombia,1990,0
Colombia,1991,0
Colombia,1992,0
Colombia,1993,0
Colombia,1994,0
Colombia,1995,0
Colombia,1996,0
Colombia,1997,0
Colombia,1998,0
Colombia,1999,0
Colombia,2000,0
Colombia,2001,0
Colombia,2002,0
Colombia,2003,0
Colombia,2004,0
Colombia,2005,0.171541807
Colombia,2006,1.570759699
Colombia,2007,1.688979364
Colombia,2008,1.749481851
Colombia,2009,3.642700017
Colombia,2010,5.251430333
Colombia,2011,6.638568139
Colombia,2012,7.279805981
Colombia,2013,7.537292614
Colombia,2014,7.836901694
Colombia,2015,8.024198592
Colombia,2016,7.806001739
Colombia,2017,7.153718981
Colombia,2018,8.936949856
Colombia,2019,7.976526058
Colombia,2020,7.281117239
Europe,1990,0.073269
Europe,1991,0.080247
Europe,1992,0.202416444
Europe,1993,0.502786846
Europe,1994,1.400767376
Europe,1995,2.474585018
Europe,1996,3.590217106
Europe,1997,4.590712397
Europe,1998,4.372726586
Europe,1999,5.005115736
Europe,2000,8.130677031
Europe,2001,10.038443
Europe,2002,13.41347131
Europe,2003,16.92990929
Europe,2004,25.36704809
Europe,2005,34.71141339
Europe,2006,51.12316583
Europe,2007,69.87283475
Europe,2008,90.39917386
Europe,2009,111.11985
Europe,2010,126.6329867
Europe,2011,124.4160487
Europe,2012,135.1964771
Europe,2013,145.4436314
Europe,2014,158.7421262
Europe,2015,161.1807803
Europe,2016,156.7738688
Europe,2017,177.2332448
Europe,2018,188.8566055
Europe,2019,191.6852328
Europe,2020,183.3026155
European Union,1990,0.073269
European Union,1991,0.080247
European Union,1992,0.202416444
European Union,1993,0.502786846
European Union,1994,1.400767376
European Union,1995,2.474585018
European Union,1996,3.590217106
European Union,1997,4.573787586
European Union,1998,4.357511631
European Union,1999,4.990824283
European Union,2000,8.113989956
European Union,2001,10.02073184
European Union,2002,13.36541416
European Union,2003,16.80253823
European Union,2004,25.17855449
European Union,2005,34.50478097
European Union,2006,48.08223917
European Union,2007,64.99686106
European Union,2008,86.21430375
European Union,2009,107.9419145
European Union,2010,123.1452007
European Union,2011,121.1633582
European Union,2012,130.6499372
European Union,2013,138.1791146
European Union,2014,153.1195746
European Union,2015,156.1922224
European Union,2016,148.4660314
European Union,2017,165.8291086
European Union,2018,177.8915162
European Union,2019,181.8763595
European Union,2020,173.8576815
Finland,1990,0
Finland,1991,0
Finland,1992,0
Finland,1993,0
Finland,1994,0
Finland,1995,0
Finland,1996,0
Finland,1997,0
Finland,1998,0
Finland,1999,0
Finland,2000,0
Finland,2001,0
Finland,2002,0
Finland,2003,0
Finland,2004,0
Finland,2005,0
Finland,2006,0
Finland,2007,0.433030581
Finland,2008,0.991635035
Finland,2009,2.692899458
Finland,2010,3.505052486
Finland,2011,2.416090885
Finland,2012,3.066077011
Finland,2013,3.844533025
Finland,2014,4.295519203
Finland,2015,5.011312775
Finland,2016,1.287133443
Finland,2017,3.625292822
Finland,2018,3.301683167
Finland,2019,3.950198522
Finland,2020,4.54212195
France,1990,0
France,1991,0
France,1992,0.02624891
France,1993,0.2923782
France,1994,0.94942668
France,1995,1.8613815
France,1996,2.67855182
France,1997,3.206600339
France,1998,2.997667389
France,1999,3.151253169
France,2000,3.775865581
France,2001,3.76689885
France,2002,4.034772639
