Country,Year,Hydro (%  of energy used)
Africa,1965,5.526
Africa,1966,5.862
Africa,1967,6.069
Africa,1968,6.73
Africa,1969,7.669
Africa,1970,8.793
Africa,1971,7.618
Africa,1972,8.183
Africa,1973,7.995
Africa,1974,8.676
Africa,1975,8.668
Africa,1976,8.776
Africa,1977,9.169
Africa,1978,8.902
Africa,1979,8.691
Africa,1980,7.892
Africa,1981,7.368
Africa,1982,6.903
Africa,1983,6.06
Africa,1984,5.767
Africa,1985,6.169
Africa,1986,6.233
Africa,1987,5.788
Africa,1988,5.91
Africa,1989,6.189
Africa,1990,6.102
Africa,1991,6.481
Africa,1992,6.088
Africa,1993,5.951
Africa,1994,5.846
Africa,1995,5.829
Africa,1996,5.919
Africa,1997,5.95
Africa,1998,6.116
Africa,1999,6.292
Africa,2000,6.545
Africa,2001,6.751
Africa,2002,6.98
Africa,2003,6.441
Africa,2004,6.322
Africa,2005,6.344
Africa,2006,6.419
Africa,2007,6.358
Africa,2008,6.071
Africa,2009,6.085
Africa,2010,6.305
Africa,2011,6.422
Africa,2012,6.184
Africa,2013,6.339
Africa,2014,6.386
Africa,2015,6.05
Africa,2016,5.684
Africa,2017,5.951
Africa,2018,6.108
Africa,2019,6.155
Africa,2020,6.814
Algeria,1965,4.487
Algeria,1966,3.313
Algeria,1967,4.042
Algeria,1968,5.171
Algeria,1969,2.996
Algeria,1970,4.395
Algeria,1971,2.311
Algeria,1972,3.086
Algeria,1973,3.933
Algeria,1974,2.347
Algeria,1975,1.296
Algeria,1976,1.317
Algeria,1977,0.829
Algeria,1978,0.613
Algeria,1979,0.544
Algeria,1980,0.403
Algeria,1981,0.473
Algeria,1982,0.536
Algeria,1983,0.241
Algeria,1984,0.483
Algeria,1985,0.684
Algeria,1986,0.25
Algeria,1987,0.486
Algeria,1988,0.166
Algeria,1989,0.211
Algeria,1990,0.119
Algeria,1991,0.261
Algeria,1992,0.173
Algeria,1993,0.329
Algeria,1994,0.153
Algeria,1995,0.171
Algeria,1996,0.121
Algeria,1997,0.07
Algeria,1998,0.194
Algeria,1999,0.181
Algeria,2000,0.05
Algeria,2001,0.061
Algeria,2002,0.049
Algeria,2003,0.214
Algeria,2004,0.194
Algeria,2005,0.408
Algeria,2006,0.153
Algeria,2007,0.15
Algeria,2008,0.176
Algeria,2009,0.2
Algeria,2010,0.103
Algeria,2011,0.211
Algeria,2012,0.197
Algeria,2013,0.047
Algeria,2014,0.084
Algeria,2015,0.059
Algeria,2016,0.029
Algeria,2017,0.022
Algeria,2018,0.043
Algeria,2019,0.054
Algeria,2020,0.019
Argentina,1965,1.036
