Country,Year,Renewables (% of energy produced)
Africa,1965,5.526
Africa,1966,5.862
Africa,1967,6.069
Africa,1968,6.73
Africa,1969,7.669
Africa,1970,8.793
Africa,1971,7.666
Africa,1972,8.229
Africa,1973,8.038
Africa,1974,8.718
Africa,1975,8.707
Africa,1976,8.815
Africa,1977,9.207
Africa,1978,8.939
Africa,1979,8.726
Africa,1980,7.925
Africa,1981,7.4
Africa,1982,6.936
Africa,1983,6.091
Africa,1984,5.797
Africa,1985,6.203
Africa,1986,6.313
Africa,1987,5.866
Africa,1988,5.979
Africa,1989,6.256
Africa,1990,6.188
Africa,1991,6.569
Africa,1992,6.177
Africa,1993,6.049
Africa,1994,5.931
Africa,1995,5.929
Africa,1996,6.039
Africa,1997,6.08
Africa,1998,6.274
Africa,1999,6.445
Africa,2000,6.759
Africa,2001,6.982
Africa,2002,7.219
Africa,2003,6.703
Africa,2004,6.612
Africa,2005,6.622
Africa,2006,6.745
Africa,2007,6.658
Africa,2008,6.375
Africa,2009,6.413
Africa,2010,6.681
Africa,2011,6.836
Africa,2012,6.62
Africa,2013,6.827
Africa,2014,7.042
Africa,2015,7.053
Africa,2016,6.843
Africa,2017,7.239
Africa,2018,7.554
Africa,2019,7.874
Africa,2020,8.849
Algeria,1965,4.487
Algeria,1966,3.313
Algeria,1967,4.042
Algeria,1968,5.171
Algeria,1969,2.996
Algeria,1970,4.395
Algeria,1971,2.311
Algeria,1972,3.086
Algeria,1973,3.933
Algeria,1974,2.347
Algeria,1975,1.296
Algeria,1976,1.317
Algeria,1977,0.829
Algeria,1978,0.613
Algeria,1979,0.544
Algeria,1980,0.403
Algeria,1981,0.473
Algeria,1982,0.536
Algeria,1983,0.241
Algeria,1984,0.483
Algeria,1985,0.684
Algeria,1986,0.25
Algeria,1987,0.486
Algeria,1988,0.166
Algeria,1989,0.211
Algeria,1990,0.119
Algeria,1991,0.261
Algeria,1992,0.173
Algeria,1993,0.329
Algeria,1994,0.153
Algeria,1995,0.171
Algeria,1996,0.121
Algeria,1997,0.07
Algeria,1998,0.194
Algeria,1999,0.181
Algeria,2000,0.05
Algeria,2001,0.061
Algeria,2002,0.049
Algeria,2003,0.214
Algeria,2004,0.194
Algeria,2005,0.408
Algeria,2006,0.153
Algeria,2007,0.15
Algeria,2008,0.176
Algeria,2009,0.2
Algeria,2010,0.108
Algeria,2011,0.221
Algeria,2012,0.211
Algeria,2013,0.061
Algeria,2014,0.11
Algeria,2015,0.091
Algeria,2016,0.137
Algeria,2017,0.232
Algeria,2018,0.27
Algeria,2019,0.277
Algeria,2020,0.254
Argentina,1965,1.036
