Country,Year,Emission,Category
Australia,2014,393126.947,Carbon Dioxide 
Australia,2013,396913.9365,Carbon Dioxide 
Australia,2012,406462.8477,Carbon Dioxide 
Australia,2011,403705.5283,Carbon Dioxide 
Australia,2010,406200.9932,Carbon Dioxide 
Australia,2009,408448.479,Carbon Dioxide 
Australia,2008,404237.8282,Carbon Dioxide 
Australia,2007,398816.4535,Carbon Dioxide 
Australia,2006,391134.1009,Carbon Dioxide 
Australia,2005,385581.1328,Carbon Dioxide 
Australia,2004,381519.2616,Carbon Dioxide 
Australia,2003,368345.9774,Carbon Dioxide 
Australia,2002,361861.3879,Carbon Dioxide 
Australia,2001,357653.3299,Carbon Dioxide 
Australia,2000,349885.4331,Carbon Dioxide 
Australia,1999,343713.9069,Carbon Dioxide 
Australia,1998,334328.1426,Carbon Dioxide 
Australia,1997,320439.1168,Carbon Dioxide 
Australia,1996,311914.8198,Carbon Dioxide 
Australia,1995,305162.5435,Carbon Dioxide 
Australia,1994,293830.7091,Carbon Dioxide 
Australia,1993,289142.2677,Carbon Dioxide 
Australia,1992,284766.0927,Carbon Dioxide 
Australia,1991,279741.639,Carbon Dioxide 
Australia,1990,278265.8989,Carbon Dioxide 
Austria,2014,64262.56399,Carbon Dioxide 
Austria,2013,67957.12111,Carbon Dioxide 
Austria,2012,67698.65863,Carbon Dioxide 
Austria,2011,70327.16704,Carbon Dioxide 
Austria,2010,72531.82613,Carbon Dioxide 
Austria,2009,67682.72515,Carbon Dioxide 
Austria,2008,74066.25579,Carbon Dioxide 
Austria,2007,74268.11072,Carbon Dioxide 
Austria,2006,76934.95153,Carbon Dioxide 
Austria,2005,79588.50188,Carbon Dioxide 
Austria,2004,78388.99743,Carbon Dioxide 
Austria,2003,78023.9539,Carbon Dioxide 
Austria,2002,72126.59144,Carbon Dioxide 
Austria,2001,70299.47115,Carbon Dioxide 
Austria,2000,66274.74325,Carbon Dioxide 
Austria,1999,65660.13364,Carbon Dioxide 
Austria,1998,67047.25067,Carbon Dioxide 
Austria,1997,67455.89273,Carbon Dioxide 
Austria,1996,67667.2627,Carbon Dioxide 
Austria,1995,64202.15922,Carbon Dioxide 
Austria,1994,61189.1025,Carbon Dioxide 
Austria,1993,60790.75772,Carbon Dioxide 
Austria,1992,60432.24934,Carbon Dioxide 
Austria,1991,65903.51331,Carbon Dioxide 
Austria,1990,62297.16557,Carbon Dioxide 
Belarus,2014,60615.64573,Carbon Dioxide 
Belarus,2013,61510.98715,Carbon Dioxide 
Belarus,2012,60636.85139,Carbon Dioxide 
Belarus,2011,61128.40059,Carbon Dioxide 
Belarus,2010,61632.4927,Carbon Dioxide 
Belarus,2009,59596.20538,Carbon Dioxide 
Belarus,2008,63846.10379,Carbon Dioxide 
Belarus,2007,61563.88173,Carbon Dioxide 
Belarus,2006,62229.39888,Carbon Dioxide 
Belarus,2005,59664.73908,Carbon Dioxide 
Belarus,2004,58457.64762,Carbon Dioxide 
Belarus,2003,54845.14584,Carbon Dioxide 
Belarus,2002,53843.70442,Carbon Dioxide 
Belarus,2001,53783.84767,Carbon Dioxide 
Belarus,2000,53686.85749,Carbon Dioxide 
Belarus,1999,55033.95212,Carbon Dioxide 
Belarus,1998,57426.32958,Carbon Dioxide 
Belarus,1997,60971.81631,Carbon Dioxide 
Belarus,1996,57251.3557,Carbon Dioxide 
Belarus,1995,56005.93938,Carbon Dioxide 
Belarus,1994,62402.27908,Carbon Dioxide 
Belarus,1993,75551.75529,Carbon Dioxide 
Belarus,1992,87060.81029,Carbon Dioxide 
Belarus,1991,93649.16614,Carbon Dioxide 
Belarus,1990,100438.0951,Carbon Dioxide 
Belgium,2014,96325.41318,Carbon Dioxide 
Belgium,2013,101744.7367,Carbon Dioxide 
Belgium,2012,100931.5956,Carbon Dioxide 
Belgium,2011,104945.7138,Carbon Dioxide 
Belgium,2010,114155.3867,Carbon Dioxide 
Belgium,2009,107282.5435,Carbon Dioxide 
Belgium,2008,120362.6098,Carbon Dioxide 
Belgium,2007,118027.4086,Carbon Dioxide 
Belgium,2006,122319.5938,Carbon Dioxide 
Belgium,2005,125118.0165,Carbon Dioxide 
Belgium,2004,128640.4835,Carbon Dioxide 
Belgium,2003,127523.9897,Carbon Dioxide 
Belgium,2002,126015.1947,Carbon Dioxide 
Belgium,2001,125649.3705,Carbon Dioxide 
Belgium,2000,126315.2099,Carbon Dioxide 
Belgium,1999,124208.0718,Carbon Dioxide 
Belgium,1998,129737.09,Carbon Dioxide 
Belgium,1997,123495.7428,Carbon Dioxide 
Belgium,1996,129010.4717,Carbon Dioxide 
Belgium,1995,125519.442,Carbon Dioxide 
Belgium,1994,124426.8857,Carbon Dioxide 
Belgium,1993,121156.965,Carbon Dioxide 
Belgium,1992,122217.9195,Carbon Dioxide 
Belgium,1991,123130.6529,Carbon Dioxide 
Belgium,1990,119982.5034,Carbon Dioxide 
Bulgaria,2014,45139.95529,Carbon Dioxide 
Bulgaria,2013,42534.9272,Carbon Dioxide 
Bulgaria,2012,48117.55608,Carbon Dioxide 
Bulgaria,2011,53020.98112,Carbon Dioxide 
Bulgaria,2010,47678.64896,Carbon Dioxide 
Bulgaria,2009,45487.87355,Carbon Dioxide 
Bulgaria,2008,53655.14017,Carbon Dioxide 
Bulgaria,2007,55184.4241,Carbon Dioxide 
Bulgaria,2006,51446.28294,Carbon Dioxide 
Bulgaria,2005,50191.11606,Carbon Dioxide 
Bulgaria,2004,49170.33769,Carbon Dioxide 
Bulgaria,2003,49971.15158,Carbon Dioxide 
Bulgaria,2002,45786.29472,Carbon Dioxide 
Bulgaria,2001,48568.91783,Carbon Dioxide 
Bulgaria,2000,44896.67055,Carbon Dioxide 
Bulgaria,1999,45751.7891,Carbon Dioxide 
Bulgaria,1998,52143.35677,Carbon Dioxide 
Bulgaria,1997,54790.13416,Carbon Dioxide 
Bulgaria,1996,57581.19476,Carbon Dioxide 
Bulgaria,1995,57221.60629,Carbon Dioxide 
Bulgaria,1994,55649.08132,Carbon Dioxide 
Bulgaria,1993,57203.93552,Carbon Dioxide 
Bulgaria,1992,56551.59357,Carbon Dioxide 
Bulgaria,1991,59769.3415,Carbon Dioxide 
Bulgaria,1990,78197.88126,Carbon Dioxide 
Canada,2014,574099.7755,Carbon Dioxide 
Canada,2013,573094.0388,Carbon Dioxide 
Canada,2012,563423.6132,Carbon Dioxide 
Canada,2011,558152.7229,Carbon Dioxide 
Canada,2010,555003.7603,Carbon Dioxide 
Canada,2009,542829.4589,Carbon Dioxide 
Canada,2008,577444.9302,Carbon Dioxide 
Canada,2007,596041.322,Carbon Dioxide 
Canada,2006,573479.2697,Carbon Dioxide 
Canada,2005,579225.3357,Carbon Dioxide 
Canada,2004,585414.8606,Carbon Dioxide 
Canada,2003,587306.6785,Carbon Dioxide 
Canada,2002,569862.1456,Carbon Dioxide 
Canada,2001,564617.0203,Carbon Dioxide 
Canada,2000,572290.3855,Carbon Dioxide 
Canada,1999,550183.0634,Carbon Dioxide 
Canada,1998,533794.4536,Carbon Dioxide 
Canada,1997,525120.0112,Carbon Dioxide 
Canada,1996,510619.6822,Carbon Dioxide 
Canada,1995,497224.8369,Carbon Dioxide 
Canada,1994,482691.6713,Carbon Dioxide 
Canada,1993,467607.2372,Carbon Dioxide 
Canada,1992,468546.4589,Carbon Dioxide 
Canada,1991,454246.1379,Carbon Dioxide 
Canada,1990,463493.3324,Carbon Dioxide 
Croatia,2014,17607.32241,Carbon Dioxide 
Croatia,2013,18359.49984,Carbon Dioxide 
Croatia,2012,18776.38135,Carbon Dioxide 
Croatia,2011,20614.44047,Carbon Dioxide 
Croatia,2010,21183.70931,Carbon Dioxide 
Croatia,2009,21965.63527,Carbon Dioxide 
Croatia,2008,23715.38432,Carbon Dioxide 
Croatia,2007,24955.37593,Carbon Dioxide 
Croatia,2006,23684.93503,Carbon Dioxide 
Croatia,2005,23451.84585,Carbon Dioxide 
Croatia,2004,23005.23485,Carbon Dioxide 
Croatia,2003,23355.2211,Carbon Dioxide 
Croatia,2002,22031.12667,Carbon Dioxide 
Croatia,2001,20943.10996,Carbon Dioxide 
Croatia,2000,19789.12175,Carbon Dioxide 
Croatia,1999,20215.65323,Carbon Dioxide 
Croatia,1998,19372.3876,Carbon Dioxide 
Croatia,1997,18666.46698,Carbon Dioxide 
Croatia,1996,17587.89846,Carbon Dioxide 
Croatia,1995,16992.80042,Carbon Dioxide 
Croatia,1994,16342.18188,Carbon Dioxide 
Croatia,1993,17081.22802,Carbon Dioxide 
Croatia,1992,16607.13448,Carbon Dioxide 
Croatia,1991,17268.91035,Carbon Dioxide 
Croatia,1990,23390.07521,Carbon Dioxide 
Cyprus,2014,6878.555309,Carbon Dioxide 
Cyprus,2013,6449.610812,Carbon Dioxide 
Cyprus,2012,7160.971876,Carbon Dioxide 
Cyprus,2011,7696.667805,Carbon Dioxide 
Cyprus,2010,8004.912021,Carbon Dioxide 
Cyprus,2009,8372.396592,Carbon Dioxide 
Cyprus,2008,8620.395582,Carbon Dioxide 
Cyprus,2007,8458.664261,Carbon Dioxide 
Cyprus,2006,8152.492308,Carbon Dioxide 
Cyprus,2005,7961.983989,Carbon Dioxide 
Cyprus,2004,7776.909405,Carbon Dioxide 
Cyprus,2003,7550.081928,Carbon Dioxide 
Cyprus,2002,7160.388458,Carbon Dioxide 
Cyprus,2001,6969.466176,Carbon Dioxide 
Cyprus,2000,7095.964385,Carbon Dioxide 
Cyprus,1999,6847.659116,Carbon Dioxide 
Cyprus,1998,6580.29615,Carbon Dioxide 
Cyprus,1997,6287.031657,Carbon Dioxide 
Cyprus,1996,6156.132134,Carbon Dioxide 
Cyprus,1995,5848.043785,Carbon Dioxide 
Cyprus,1994,5977.257105,Carbon Dioxide 
Cyprus,1993,5733.674102,Carbon Dioxide 
Cyprus,1992,5482.97487,Carbon Dioxide 
Cyprus,1991,5107.082887,Carbon Dioxide 
Cyprus,1990,4621.007177,Carbon Dioxide 
Czech Republic,2014,101159.1222,Carbon Dioxide 
Czech Republic,2013,106477.0887,Carbon Dioxide 
Czech Republic,2012,109841.3289,Carbon Dioxide 
Czech Republic,2011,114113.1467,Carbon Dioxide 
Czech Republic,2010,115757.3686,Carbon Dioxide 
Czech Republic,2009,113970.0292,Carbon Dioxide 
Czech Republic,2008,121780.7163,Carbon Dioxide 
Czech Republic,2007,126933.163,Carbon Dioxide 
Czech Republic,2006,125923.4024,Carbon Dioxide 
Czech Republic,2005,124590.1379,Carbon Dioxide 
Czech Republic,2004,126876.9162,Carbon Dioxide 
Czech Republic,2003,126151.6488,Carbon Dioxide 
Czech Republic,2002,122593.4001,Carbon Dioxide 
Czech Republic,2001,125541.5365,Carbon Dioxide 
Czech Republic,2000,125841.9693,Carbon Dioxide 
Czech Republic,1999,115475.26,Carbon Dioxide 
Czech Republic,1998,123696.5173,Carbon Dioxide 
Czech Republic,1997,128732.6387,Carbon Dioxide 
Czech Republic,1996,132234.0718,Carbon Dioxide 
Czech Republic,1995,129767.1664,Carbon Dioxide 
Czech Republic,1994,129188.7341,Carbon Dioxide 
Czech Republic,1993,135588.5656,Carbon Dioxide 
Czech Republic,1992,141565.7197,Carbon Dioxide 
Czech Republic,1991,146047.3396,Carbon Dioxide 
Czech Republic,1990,161662.0189,Carbon Dioxide 
Denmark,2014,37460.65646,Carbon Dioxide 
Denmark,2013,41537.03581,Carbon Dioxide 
Denmark,2012,39524.40203,Carbon Dioxide 
Denmark,2011,43970.78926,Carbon Dioxide 
Denmark,2010,48993.41738,Carbon Dioxide 
Denmark,2009,48592.21139,Carbon Dioxide 
Denmark,2008,50935.67153,Carbon Dioxide 
Denmark,2007,54429.08517,Carbon Dioxide 
Denmark,2006,59162.49963,Carbon Dioxide 
Denmark,2005,51307.24452,Carbon Dioxide 
Denmark,2004,54916.91056,Carbon Dioxide 
Denmark,2003,60493.96172,Carbon Dioxide 
Denmark,2002,55339.6717,Carbon Dioxide 
Denmark,2001,55845.14718,Carbon Dioxide 
Denmark,2000,54148.90497,Carbon Dioxide 
Denmark,1999,58456.41582,Carbon Dioxide 
Denmark,1998,61117.34163,Carbon Dioxide 
Denmark,1997,65457.83484,Carbon Dioxide 
Denmark,1996,75110.84099,Carbon Dioxide 
Denmark,1995,61914.16101,Carbon Dioxide 
Denmark,1994,64988.7809,Carbon Dioxide 
Denmark,1993,61038.67124,Carbon Dioxide 
Denmark,1992,58960.31152,Carbon Dioxide 
Denmark,1991,64874.81386,Carbon Dioxide 
Denmark,1990,54306.43334,Carbon Dioxide 
Estonia,2014,18918.71534,Carbon Dioxide 
Estonia,2013,19566.36837,Carbon Dioxide 
Estonia,2012,17304.63723,Carbon Dioxide 
Estonia,2011,18449.93086,Carbon Dioxide 
Estonia,2010,17833.77961,Carbon Dioxide 
Estonia,2009,14153.00516,Carbon Dioxide 
Estonia,2008,17264.52003,Carbon Dioxide 
Estonia,2007,18755.64793,Carbon Dioxide 
Estonia,2006,15719.52893,Carbon Dioxide 
Estonia,2005,16330.73383,Carbon Dioxide 
Estonia,2004,17055.07425,Carbon Dioxide 
Estonia,2003,16833.21429,Carbon Dioxide 
Estonia,2002,15020.28415,Carbon Dioxide 
Estonia,2001,15493.86099,Carbon Dioxide 
Estonia,2000,15141.38772,Carbon Dioxide 
Estonia,1999,15518.49062,Carbon Dioxide 
Estonia,1998,16684.30315,Carbon Dioxide 
Estonia,1997,18223.60427,Carbon Dioxide 
Estonia,1996,18666.13597,Carbon Dioxide 
Estonia,1995,17953.73597,Carbon Dioxide 
Estonia,1994,19626.44594,Carbon Dioxide 
Estonia,1993,18810.96392,Carbon Dioxide 
Estonia,1992,24187.82758,Carbon Dioxide 
Estonia,1991,33662.37251,Carbon Dioxide 
Estonia,1990,36666.0273,Carbon Dioxide 
European Union,2014,3463397.564,Carbon Dioxide 
European Union,2013,3646389.525,Carbon Dioxide 
European Union,2012,3728965.031,Carbon Dioxide 
European Union,2011,3789763.641,Carbon Dioxide 
European Union,2010,3933290.522,Carbon Dioxide 
European Union,2009,3814305.258,Carbon Dioxide 
European Union,2008,4149624.296,Carbon Dioxide 
European Union,2007,4244213.129,Carbon Dioxide 
European Union,2006,4297988.162,Carbon Dioxide 
European Union,2005,4290586.668,Carbon Dioxide 
European Union,2004,4314560.871,Carbon Dioxide 
European Union,2003,4306103.945,Carbon Dioxide 
European Union,2002,4208860.123,Carbon Dioxide 
European Union,2001,4232036.863,Carbon Dioxide 
European Union,2000,4165145.441,Carbon Dioxide 
European Union,1999,4139002.995,Carbon Dioxide 
European Union,1998,4207666.032,Carbon Dioxide 
