Country,Year,Emission,Category
Australia,2014,522397.0907,Gas (Co2 Equivilent)
Australia,2013,526882.6673,Gas (Co2 Equivilent)
Australia,2012,537377.5715,Gas (Co2 Equivilent)
Australia,2011,534089.7987,Gas (Co2 Equivilent)
Australia,2010,533917.4363,Gas (Co2 Equivilent)
Australia,2009,537889.8926,Gas (Co2 Equivilent)
Australia,2008,533693.5082,Gas (Co2 Equivilent)
Australia,2007,529842.8703,Gas (Co2 Equivilent)
Australia,2006,522517.1917,Gas (Co2 Equivilent)
Australia,2005,518850.7595,Gas (Co2 Equivilent)
Australia,2004,511710.242,Gas (Co2 Equivilent)
Australia,2003,495154.086,Gas (Co2 Equivilent)
Australia,2002,494740.1008,Gas (Co2 Equivilent)
Australia,2001,491441.6959,Gas (Co2 Equivilent)
Australia,2000,483445.8267,Gas (Co2 Equivilent)
Australia,1999,472245.9908,Gas (Co2 Equivilent)
Australia,1998,466382.1125,Gas (Co2 Equivilent)
Australia,1997,451721.7178,Gas (Co2 Equivilent)
Australia,1996,439803.9622,Gas (Co2 Equivilent)
Australia,1995,433478.6508,Gas (Co2 Equivilent)
Australia,1994,424092.9594,Gas (Co2 Equivilent)
Australia,1993,423764.9326,Gas (Co2 Equivilent)
Australia,1992,423080.1082,Gas (Co2 Equivilent)
Australia,1991,418674.0575,Gas (Co2 Equivilent)
Australia,1990,418623.0496,Gas (Co2 Equivilent)
Austria,2014,76332.61859,Gas (Co2 Equivilent)
Austria,2013,80042.54184,Gas (Co2 Equivilent)
Austria,2012,79897.1151,Gas (Co2 Equivilent)
Austria,2011,82626.63802,Gas (Co2 Equivilent)
Austria,2010,84946.01971,Gas (Co2 Equivilent)
Austria,2009,80190.65144,Gas (Co2 Equivilent)
Austria,2008,87101.13468,Gas (Co2 Equivilent)
Austria,2007,87241.15453,Gas (Co2 Equivilent)
Austria,2006,89981.02128,Gas (Co2 Equivilent)
Austria,2005,92810.4872,Gas (Co2 Equivilent)
Austria,2004,91835.89424,Gas (Co2 Equivilent)
Austria,2003,92018.48114,Gas (Co2 Equivilent)
Austria,2002,86129.54644,Gas (Co2 Equivilent)
Austria,2001,84380.80689,Gas (Co2 Equivilent)
Austria,2000,80429.34339,Gas (Co2 Equivilent)
Austria,1999,80106.71718,Gas (Co2 Equivilent)
Austria,1998,81770.83956,Gas (Co2 Equivilent)
Austria,1997,82474.39203,Gas (Co2 Equivilent)
Austria,1996,83008.8063,Gas (Co2 Equivilent)
Austria,1995,79813.03454,Gas (Co2 Equivilent)
Austria,1994,76503.48529,Gas (Co2 Equivilent)
Austria,1993,75988.22704,Gas (Co2 Equivilent)
Austria,1992,75930.99577,Gas (Co2 Equivilent)
Austria,1991,82636.90347,Gas (Co2 Equivilent)
Austria,1990,78844.62726,Gas (Co2 Equivilent)
Belarus,2014,91895.64656,Gas (Co2 Equivilent)
Belarus,2013,93037.24545,Gas (Co2 Equivilent)
Belarus,2012,90925.11458,Gas (Co2 Equivilent)
Belarus,2011,91671.72701,Gas (Co2 Equivilent)
Belarus,2010,91183.54936,Gas (Co2 Equivilent)
Belarus,2009,89223.65626,Gas (Co2 Equivilent)
Belarus,2008,92364.34897,Gas (Co2 Equivilent)
Belarus,2007,88920.64195,Gas (Co2 Equivilent)
Belarus,2006,89449.65545,Gas (Co2 Equivilent)
Belarus,2005,85596.0987,Gas (Co2 Equivilent)
Belarus,2004,83688.29957,Gas (Co2 Equivilent)
Belarus,2003,79158.71882,Gas (Co2 Equivilent)
Belarus,2002,76683.86789,Gas (Co2 Equivilent)
Belarus,2001,77921.82759,Gas (Co2 Equivilent)
Belarus,2000,77959.72496,Gas (Co2 Equivilent)
Belarus,1999,79497.84206,Gas (Co2 Equivilent)
Belarus,1998,82668.83156,Gas (Co2 Equivilent)
Belarus,1997,86282.50594,Gas (Co2 Equivilent)
Belarus,1996,82375.19422,Gas (Co2 Equivilent)
Belarus,1995,80369.78235,Gas (Co2 Equivilent)
Belarus,1994,88206.35674,Gas (Co2 Equivilent)
Belarus,1993,103951.5253,Gas (Co2 Equivilent)
Belarus,1992,116588.6865,Gas (Co2 Equivilent)
Belarus,1991,125601.0529,Gas (Co2 Equivilent)
Belarus,1990,133457.162,Gas (Co2 Equivilent)
Belgium,2014,113866.619,Gas (Co2 Equivilent)
Belgium,2013,119375.3015,Gas (Co2 Equivilent)
Belgium,2012,118761.3382,Gas (Co2 Equivilent)
Belgium,2011,122833.3955,Gas (Co2 Equivilent)
Belgium,2010,133258.4057,Gas (Co2 Equivilent)
Belgium,2009,125811.802,Gas (Co2 Equivilent)
Belgium,2008,138749.6261,Gas (Co2 Equivilent)
Belgium,2007,136451.3393,Gas (Co2 Equivilent)
Belgium,2006,141046.7075,Gas (Co2 Equivilent)
Belgium,2005,144803.082,Gas (Co2 Equivilent)
Belgium,2004,148971.4048,Gas (Co2 Equivilent)
Belgium,2003,147579.0697,Gas (Co2 Equivilent)
Belgium,2002,147240.3653,Gas (Co2 Equivilent)
Belgium,2001,147626.1335,Gas (Co2 Equivilent)
Belgium,2000,149213.0172,Gas (Co2 Equivilent)
Belgium,1999,148062.4436,Gas (Co2 Equivilent)
Belgium,1998,154340.3929,Gas (Co2 Equivilent)
Belgium,1997,149163.4559,Gas (Co2 Equivilent)
Belgium,1996,157656.6871,Gas (Co2 Equivilent)
Belgium,1995,154020.2937,Gas (Co2 Equivilent)
Belgium,1994,151882.3725,Gas (Co2 Equivilent)
Belgium,1993,147393.3946,Gas (Co2 Equivilent)
Belgium,1992,148384.7268,Gas (Co2 Equivilent)
Belgium,1991,148825.6994,Gas (Co2 Equivilent)
Belgium,1990,146021.2368,Gas (Co2 Equivilent)
Canada,2014,747171.8726,Gas (Co2 Equivilent)
Canada,2013,737423.1353,Gas (Co2 Equivilent)
