Country,Year,GDP,Population
Afghanistan,2021,,39835428
Africa,2021,,1373486472
Albania,2021,,2872934
Algeria,2021,,44616626
American Samoa,2021,,55103
Andorra,2021,,77354
Angola,2021,,33933611
Anguilla,2021,,15125
Antigua and Barbuda,2021,,98728
Argentina,2021,,45605823
Armenia,2021,,2968128
Aruba,2021,,107195
Asia,2021,,4678444992
Australia,2021,,25788217
Austria,2021,,9043072
Azerbaijan,2021,,10223344
Bahamas,2021,,396914
Bahrain,2021,,1748295
Bangladesh,2021,,166303494
Barbados,2021,,287708
Belarus,2021,,9442867
Belgium,2021,,11632334
Belize,2021,,404915
Benin,2021,,12451031
Bermuda,2021,,62092
Bhutan,2021,,779900
Bolivia,2021,,11832936
Bonaire Sint Eustatius and Saba,2021,,26445
Bosnia and Herzegovina,2021,,3263459
Botswana,2021,,2397240
Brazil,2021,,213993441
British Virgin Islands,2021,,30423
Brunei,2021,,441532
Bulgaria,2021,,6896655
Burkina Faso,2021,,21497097
Burundi,2021,,12255429
Cambodia,2021,,16946446
Cameroon,2021,,27224262
Canada,2021,,38067913
Cape Verde,2021,,561901
Cayman Islands,2021,,66498
Central African Republic,2021,,4919987
Chad,2021,,16914985
Channel Islands,2021,,175244
Chile,2021,,19212362
China,2021,,1444216102
Colombia,2021,,51265841
Comoros,2021,,888456
Congo,2021,,5657017
Cook Islands,2021,,17572
Costa Rica,2021,,5139053
Cote d'Ivoire,2021,,27053629
Croatia,2021,,4081657
Cuba,2021,,11317498
Curacao,2021,,164796
Cyprus,2021,,1215588
Czechia,2021,,10724553
Democratic Republic of Congo,2021,,92377986
Denmark,2021,,5813302
Djibouti,2021,,1002197
Dominica,2021,,72172
Dominican Republic,2021,,10953714
Ecuador,2021,,17888474
Egypt,2021,,104258327
El Salvador,2021,,6518500
Equatorial Guinea,2021,,1449891
Eritrea,2021,,3601462
Estonia,2021,,1325188
Eswatini,2021,,1172369
Ethiopia,2021,,117876226
Europe,2021,,748962983
Faeroe Islands,2021,,49053
Falkland Islands,2021,,3528
Fiji,2021,,902899
Finland,2021,,5548361
France,2021,,65426177
French Guiana,2021,,306450
French Polynesia,2021,,282534
Gabon,2021,,2278829
Gambia,2021,,2486937
Georgia,2021,,3979773
Germany,2021,,83900471
Ghana,2021,,31732128
Gibraltar,2021,,33691
Greece,2021,,10370747
Greenland,2021,,56868
Grenada,2021,,113015
Guadeloupe,2021,,400013
Guam,2021,,170184
Guatemala,2021,,18249868
Guinea,2021,,13497237
Guinea-Bissau,2021,,2015490
Guyana,2021,,790329
Haiti,2021,,11541683
Honduras,2021,,10062994
Hong Kong,2021,,7552800
Hungary,2021,,9634162
Iceland,2021,,343360
India,2021,,1393409033
Indonesia,2021,,276361788
Iran,2021,,85028760
Iraq,2021,,41179351
Ireland,2021,,4982904
Isle of Man,2021,,85410
Israel,2021,,8789776
Italy,2021,,60367471
Jamaica,2021,,2973462
Japan,2021,,126050796
Jordan,2021,,10269022
Kazakhstan,2021,,18994958
Kenya,2021,,54985702
Kiribati,2021,,121388
Kuwait,2021,,4328553
Kyrgyzstan,2021,,6628347
Laos,2021,,7379358
Latvia,2021,,1866934
Lebanon,2021,,6769151
Lesotho,2021,,2159067
Liberia,2021,,5180208
Libya,2021,,6958538
Liechtenstein,2021,,38254
Lithuania,2021,,2689862
Luxembourg,2021,,634814
Macao,2021,,658391
Madagascar,2021,,28427333
Malawi,2021,,19647681
Malaysia,2021,,32776195
Maldives,2021,,543620
Mali,2021,,20855724
Malta,2021,,442790
Marshall Islands,2021,,59618
Martinique,2021,,374743
Mauritania,2021,,4775110
Mauritius,2021,,1273428
Mayotte,2021,,279507
Mexico,2021,,130262220
Micronesia (country),2021,,116255
Moldova,2021,,4024025
Monaco,2021,,39520
Mongolia,2021,,3329282
Montenegro,2021,,628051
Montserrat,2021,,4981
Morocco,2021,,37344787
Mozambique,2021,,32163045
Myanmar,2021,,54806014
Namibia,2021,,2587344
Nauru,2021,,10873
Nepal,2021,,29674920
Netherlands,2021,,17173094
New Caledonia,2021,,288217
New Zealand,2021,,4860642
Nicaragua,2021,,6702379
Niger,2021,,25130810
Nigeria,2021,,211400704
Niue,2021,,1614
North America,2021,,596581283
North Korea,2021,,25887045
North Macedonia,2021,,2082661
Northern Mariana Islands,2021,,57910
Norway,2021,,5465629
Oceania,2021,,43219954
Oman,2021,,5223376
Pakistan,2021,,225199929
Palau,2021,,18174
Palestine,2021,,5222756
Panama,2021,,4381583
Papua New Guinea,2021,,9119005
Paraguay,2021,,7219641
Peru,2021,,33359415
Philippines,2021,,111046910
Poland,2021,,37797000
Portugal,2021,,10167923
Puerto Rico,2021,,2828246
Qatar,2021,,2930524
Reunion,2021,,901696
Romania,2021,,19127772
Russia,2021,,145912022
Rwanda,2021,,13276517
Saint Barthlemy,2021,,9909
Saint Helena,2021,,6095
Saint Kitts and Nevis,2021,,53546
Saint Lucia,2021,,184401
Saint Martin (French part),2021,,39239
Saint Pierre and Miquelon,2021,,5771
Saint Vincent and the Grenadines,2021,,111269
Samoa,2021,,200144
San Marino,2021,,34010
Sao Tome and Principe,2021,,223364
Saudi Arabia,2021,,35340680
Senegal,2021,,17196308
Serbia,2021,,8697547
Seychelles,2021,,98910
Sierra Leone,2021,,8141343
Singapore,2021,,5896684
Sint Maarten (Dutch part),2021,,43421
Slovakia,2021,,5460726
Slovenia,2021,,2078723
Solomon Islands,2021,,703995
Somalia,2021,,16359500
South Africa,2021,,60041996
South America,2021,,434260137
South Korea,2021,,51305184
South Sudan,2021,,11381377
Spain,2021,,46745211
Sri Lanka,2021,,21497306
Sudan,2021,,44909351
Suriname,2021,,591798
Sweden,2021,,10160159
Switzerland,2021,,8715494
Syria,2021,,18275704
Taiwan,2021,,23855008
Tajikistan,2021,,9749625
Tanzania,2021,,61498438
Thailand,2021,,69950844
Timor,2021,,1343875
Togo,2021,,8478242
Tokelau,2021,,1368
Tonga,2021,,106759
Trinidad and Tobago,2021,,1403374
Tunisia,2021,,11935764
Turkey,2021,,85042736
Turkmenistan,2021,,6117933
Turks and Caicos Islands,2021,,39226
Tuvalu,2021,,11925
Uganda,2021,,47123533
Ukraine,2021,,43466822
United Arab Emirates,2021,,9991083
United Kingdom,2021,,68207114
United States,2021,,332915074
United States Virgin Islands,2021,,104218
Uruguay,2021,,3485152
Uzbekistan,2021,,33935765
Vanuatu,2021,,314464
Vatican,2021,,812
Venezuela,2021,,28704947
Vietnam,2021,,98168829
Wallis and Futuna,2021,,11094
Western Sahara,2021,,611872
World,2021,,7874965730
Yemen,2021,,30490639
Zambia,2021,,18920657
Zimbabwe,2021,,15092171
Afghanistan,2020,1978.961579,38928341
Africa,2020,,1340598111
Africa Eastern and Southern,2020,3387.59467,
Africa Western and Central,2020,4003.158913,
Albania,2020,13295.41088,2877800
Algeria,2020,10681.6793,43851043
American Samoa,2020,,55197
Andorra,2020,,77265
Angola,2020,6198.083841,32866267
Anguilla,2020,,15002
Antigua and Barbuda,2020,17956.31572,97928
Arab World,2020,13753.70731,
Argentina,2020,19686.52366,45195777
Armenia,2020,12592.63537,2963234
Aruba,2020,,106766
Asia,2020,,4639847425
Australia,2020,48697.83703,25499881
Austria,2020,51935.60386,9006400
Azerbaijan,2020,13699.66559,10139175
Bahamas,2020,30764.11597,393248
