Country,Year,Emission,Category
Australia,2014,98076.1094,Methane (Co2 Equivilent)
Australia,2013,99857.20463,Methane (Co2 Equivilent)
Australia,2012,100796.8387,Methane (Co2 Equivilent)
Australia,2011,101085.5379,Methane (Co2 Equivilent)
Australia,2010,99447.73016,Methane (Co2 Equivilent)
Australia,2009,101886.8333,Methane (Co2 Equivilent)
Australia,2008,103119.5461,Methane (Co2 Equivilent)
Australia,2007,105174.6678,Methane (Co2 Equivilent)
Australia,2006,104842.3899,Methane (Co2 Equivilent)
Australia,2005,105887.563,Methane (Co2 Equivilent)
Australia,2004,103839.2109,Methane (Co2 Equivilent)
Australia,2003,102574.2078,Methane (Co2 Equivilent)
Australia,2002,108309.1435,Methane (Co2 Equivilent)
Australia,2001,110301.734,Methane (Co2 Equivilent)
Australia,2000,111520.3096,Methane (Co2 Equivilent)
Australia,1999,107889.225,Methane (Co2 Equivilent)
Australia,1998,111427.9298,Methane (Co2 Equivilent)
Australia,1997,111898.8547,Methane (Co2 Equivilent)
Australia,1996,109185.3377,Methane (Co2 Equivilent)
Australia,1995,109900.7351,Methane (Co2 Equivilent)
Australia,1994,110997.4102,Methane (Co2 Equivilent)
Australia,1993,113837.5119,Methane (Co2 Equivilent)
Australia,1992,116837.5067,Methane (Co2 Equivilent)
Australia,1991,117744.6418,Methane (Co2 Equivilent)
Australia,1990,118768.8378,Methane (Co2 Equivilent)
Austria,2014,6623.265756,Methane (Co2 Equivilent)
Austria,2013,6757.490404,Methane (Co2 Equivilent)
Austria,2012,6855.141467,Methane (Co2 Equivilent)
Austria,2011,6976.418553,Methane (Co2 Equivilent)
Austria,2010,7182.81643,Methane (Co2 Equivilent)
Austria,2009,7294.264546,Methane (Co2 Equivilent)
Austria,2008,7399.361705,Methane (Co2 Equivilent)
Austria,2007,7543.052546,Methane (Co2 Equivilent)
Austria,2006,7667.628872,Methane (Co2 Equivilent)
Austria,2005,7809.615176,Methane (Co2 Equivilent)
Austria,2004,8048.712308,Methane (Co2 Equivilent)
Austria,2003,8061.205812,Methane (Co2 Equivilent)
Austria,2002,8134.080336,Methane (Co2 Equivilent)
Austria,2001,8284.300539,Methane (Co2 Equivilent)
Austria,2000,8466.366071,Methane (Co2 Equivilent)
Austria,1999,8645.176255,Methane (Co2 Equivilent)
Austria,1998,8831.331453,Methane (Co2 Equivilent)
Austria,1997,9011.517063,Methane (Co2 Equivilent)
Austria,1996,9382.925634,Methane (Co2 Equivilent)
Austria,1995,9674.04959,Methane (Co2 Equivilent)
Austria,1994,9775.857792,Methane (Co2 Equivilent)
Austria,1993,10073.8332,Methane (Co2 Equivilent)
Austria,1992,10164.74868,Methane (Co2 Equivilent)
Austria,1991,10462.09619,Methane (Co2 Equivilent)
Austria,1990,10598.56636,Methane (Co2 Equivilent)
Belarus,2014,18599.17902,Methane (Co2 Equivilent)
Belarus,2013,18724.35897,Methane (Co2 Equivilent)
Belarus,2012,17461.76739,Methane (Co2 Equivilent)
Belarus,2011,17499.47716,Methane (Co2 Equivilent)
Belarus,2010,17109.26788,Methane (Co2 Equivilent)
Belarus,2009,17118.03116,Methane (Co2 Equivilent)
Belarus,2008,16240.15979,Methane (Co2 Equivilent)
Belarus,2007,15646.79325,Methane (Co2 Equivilent)
Belarus,2006,15450.07858,Methane (Co2 Equivilent)
Belarus,2005,14727.06005,Methane (Co2 Equivilent)
Belarus,2004,14331.3702,Methane (Co2 Equivilent)
Belarus,2003,13734.63192,Methane (Co2 Equivilent)
Belarus,2002,12705.35545,Methane (Co2 Equivilent)
Belarus,2001,12799.02586,Methane (Co2 Equivilent)
Belarus,2000,12922.69628,Methane (Co2 Equivilent)
Belarus,1999,13212.46249,Methane (Co2 Equivilent)
Belarus,1998,13540.24471,Methane (Co2 Equivilent)
Belarus,1997,13578.26528,Methane (Co2 Equivilent)
Belarus,1996,13672.82202,Methane (Co2 Equivilent)
Belarus,1995,13611.07597,Methane (Co2 Equivilent)
Belarus,1994,14331.80708,Methane (Co2 Equivilent)
Belarus,1993,15583.1134,Methane (Co2 Equivilent)
Belarus,1992,16295.43619,Methane (Co2 Equivilent)
Belarus,1991,17258.13445,Methane (Co2 Equivilent)
Belarus,1990,17944.36914,Methane (Co2 Equivilent)
Belgium,2014,8047.552316,Methane (Co2 Equivilent)
Belgium,2013,8098.248992,Methane (Co2 Equivilent)
Belgium,2012,8235.735485,Methane (Co2 Equivilent)
Belgium,2011,8369.071322,Methane (Co2 Equivilent)
Belgium,2010,8624.504882,Methane (Co2 Equivilent)
Belgium,2009,8668.573668,Methane (Co2 Equivilent)
Belgium,2008,8736.794244,Methane (Co2 Equivilent)
Belgium,2007,8947.75521,Methane (Co2 Equivilent)
Belgium,2006,8982.981926,Methane (Co2 Equivilent)
Belgium,2005,9074.769078,Methane (Co2 Equivilent)
Belgium,2004,9318.58072,Methane (Co2 Equivilent)
Belgium,2003,9372.46838,Methane (Co2 Equivilent)
Belgium,2002,9956.500859,Methane (Co2 Equivilent)
Belgium,2001,10386.25296,Methane (Co2 Equivilent)
Belgium,2000,10827.00456,Methane (Co2 Equivilent)
Belgium,1999,11265.27785,Methane (Co2 Equivilent)
Belgium,1998,11524.99968,Methane (Co2 Equivilent)
Belgium,1997,11689.89894,Methane (Co2 Equivilent)
Belgium,1996,11802.08183,Methane (Co2 Equivilent)
Belgium,1995,11947.63818,Methane (Co2 Equivilent)
Belgium,1994,11867.0166,Methane (Co2 Equivilent)
Belgium,1993,11838.30337,Methane (Co2 Equivilent)
Belgium,1992,11886.34972,Methane (Co2 Equivilent)
Belgium,1991,11999.37757,Methane (Co2 Equivilent)
Belgium,1990,12040.18105,Methane (Co2 Equivilent)
Bulgaria,2014,7420.509699,Methane (Co2 Equivilent)
Bulgaria,2013,7526.885751,Methane (Co2 Equivilent)
Bulgaria,2012,7643.919411,Methane (Co2 Equivilent)
Bulgaria,2011,8015.197676,Methane (Co2 Equivilent)
Bulgaria,2010,7782.637957,Methane (Co2 Equivilent)
Bulgaria,2009,7794.838368,Methane (Co2 Equivilent)
Bulgaria,2008,8164.025188,Methane (Co2 Equivilent)
Bulgaria,2007,8389.983299,Methane (Co2 Equivilent)
Bulgaria,2006,8446.725322,Methane (Co2 Equivilent)
Bulgaria,2005,8720.075935,Methane (Co2 Equivilent)
Bulgaria,2004,9476.237783,Methane (Co2 Equivilent)
Bulgaria,2003,10063.72037,Methane (Co2 Equivilent)
Bulgaria,2002,9374.212548,Methane (Co2 Equivilent)
Bulgaria,2001,9491.668896,Methane (Co2 Equivilent)
Bulgaria,2000,10189.34006,Methane (Co2 Equivilent)
Bulgaria,1999,10347.03508,Methane (Co2 Equivilent)
Bulgaria,1998,10886.05857,Methane (Co2 Equivilent)
Bulgaria,1997,11500.64528,Methane (Co2 Equivilent)
Bulgaria,1996,11936.16652,Methane (Co2 Equivilent)
Bulgaria,1995,12051.21056,Methane (Co2 Equivilent)
Bulgaria,1994,12003.08734,Methane (Co2 Equivilent)
Bulgaria,1993,13764.49132,Methane (Co2 Equivilent)
Bulgaria,1992,14869.29599,Methane (Co2 Equivilent)
Bulgaria,1991,15313.26885,Methane (Co2 Equivilent)
Bulgaria,1990,16430.83757,Methane (Co2 Equivilent)
Canada,2014,108436.7169,Methane (Co2 Equivilent)
Canada,2013,107063.1294,Methane (Co2 Equivilent)
Canada,2012,105633.6248,Methane (Co2 Equivilent)
Canada,2011,103884.6701,Methane (Co2 Equivilent)
Canada,2010,103730.441,Methane (Co2 Equivilent)
Canada,2009,106149.4352,Methane (Co2 Equivilent)
Canada,2008,110540.2583,Methane (Co2 Equivilent)
Canada,2007,113213.994,Methane (Co2 Equivilent)
Canada,2006,115516.0527,Methane (Co2 Equivilent)
Canada,2005,116434.3313,Methane (Co2 Equivilent)
Canada,2004,117419.3861,Methane (Co2 Equivilent)
Canada,2003,116809.2775,Methane (Co2 Equivilent)
Canada,2002,117504.6371,Methane (Co2 Equivilent)
Canada,2001,119920.2588,Methane (Co2 Equivilent)
Canada,2000,120724.8718,Methane (Co2 Equivilent)
Canada,1999,120592.5338,Methane (Co2 Equivilent)
Canada,1998,120647.4583,Methane (Co2 Equivilent)
Canada,1997,118988.193,Methane (Co2 Equivilent)
Canada,1996,116885.4603,Methane (Co2 Equivilent)
Canada,1995,113111.0783,Methane (Co2 Equivilent)
Canada,1994,108917.3211,Methane (Co2 Equivilent)
Canada,1993,105204.3612,Methane (Co2 Equivilent)
Canada,1992,101927.8416,Methane (Co2 Equivilent)
Canada,1991,97516.51169,Methane (Co2 Equivilent)
Canada,1990,95378.25194,Methane (Co2 Equivilent)
Croatia,2014,3080.40853,Methane (Co2 Equivilent)
Croatia,2013,3129.725434,Methane (Co2 Equivilent)
Croatia,2012,3167.148069,Methane (Co2 Equivilent)
Croatia,2011,3230.315368,Methane (Co2 Equivilent)
Croatia,2010,3243.512872,Methane (Co2 Equivilent)
Croatia,2009,3214.901483,Methane (Co2 Equivilent)
Croatia,2008,3153.402762,Methane (Co2 Equivilent)
Croatia,2007,3114.802057,Methane (Co2 Equivilent)
Croatia,2006,3100.590412,Methane (Co2 Equivilent)
Croatia,2005,3029.461752,Methane (Co2 Equivilent)
Croatia,2004,3061.844195,Methane (Co2 Equivilent)
Croatia,2003,2936.870511,Methane (Co2 Equivilent)
Croatia,2002,2838.302617,Methane (Co2 Equivilent)
Croatia,2001,2844.147841,Methane (Co2 Equivilent)
Croatia,2000,2785.338223,Methane (Co2 Equivilent)
Croatia,1999,2847.590855,Methane (Co2 Equivilent)
Croatia,1998,2866.646554,Methane (Co2 Equivilent)
Croatia,1997,2908.31403,Methane (Co2 Equivilent)
Croatia,1996,2968.513006,Methane (Co2 Equivilent)
Croatia,1995,2986.637175,Methane (Co2 Equivilent)
Croatia,1994,3034.348436,Methane (Co2 Equivilent)
Croatia,1993,3260.041563,Methane (Co2 Equivilent)
Croatia,1992,3227.336089,Methane (Co2 Equivilent)
Croatia,1991,3625.915742,Methane (Co2 Equivilent)
Croatia,1990,3770.717761,Methane (Co2 Equivilent)
Cyprus,2014,923.9572982,Methane (Co2 Equivilent)
Cyprus,2013,918.0362718,Methane (Co2 Equivilent)
Cyprus,2012,937.2008153,Methane (Co2 Equivilent)
Cyprus,2011,962.2115075,Methane (Co2 Equivilent)
Cyprus,2010,943.4175711,Methane (Co2 Equivilent)
Cyprus,2009,921.2745838,Methane (Co2 Equivilent)
Cyprus,2008,919.0963199,Methane (Co2 Equivilent)
Cyprus,2007,915.5187209,Methane (Co2 Equivilent)
Cyprus,2006,894.0424515,Methane (Co2 Equivilent)
Cyprus,2005,894.2499768,Methane (Co2 Equivilent)
Cyprus,2004,914.7121713,Methane (Co2 Equivilent)
Cyprus,2003,917.705867,Methane (Co2 Equivilent)
Cyprus,2002,921.2514938,Methane (Co2 Equivilent)
Cyprus,2001,887.6023426,Methane (Co2 Equivilent)
Cyprus,2000,847.453418,Methane (Co2 Equivilent)
Cyprus,1999,831.0908195,Methane (Co2 Equivilent)
Cyprus,1998,830.2704044,Methane (Co2 Equivilent)
Cyprus,1997,826.6517068,Methane (Co2 Equivilent)
Cyprus,1996,819.0833784,Methane (Co2 Equivilent)
Cyprus,1995,797.533507,Methane (Co2 Equivilent)
Cyprus,1994,773.1755829,Methane (Co2 Equivilent)
Cyprus,1993,761.6780692,Methane (Co2 Equivilent)
Cyprus,1992,733.5702736,Methane (Co2 Equivilent)
Cyprus,1991,704.3559857,Methane (Co2 Equivilent)
Cyprus,1990,693.5666222,Methane (Co2 Equivilent)
Czech Republic,2014,13491.73508,Methane (Co2 Equivilent)
Czech Republic,2013,13435.25578,Methane (Co2 Equivilent)
Czech Republic,2012,14086.09266,Methane (Co2 Equivilent)
Czech Republic,2011,14017.03574,Methane (Co2 Equivilent)
Czech Republic,2010,13992.5773,Methane (Co2 Equivilent)
Czech Republic,2009,13800.62776,Methane (Co2 Equivilent)
Czech Republic,2008,14227.76371,Methane (Co2 Equivilent)
Czech Republic,2007,13800.57073,Methane (Co2 Equivilent)
Czech Republic,2006,14265.9586,Methane (Co2 Equivilent)
Czech Republic,2005,14032.83202,Methane (Co2 Equivilent)
Czech Republic,2004,13662.7252,Methane (Co2 Equivilent)
Czech Republic,2003,14100.16338,Methane (Co2 Equivilent)
Czech Republic,2002,14091.92373,Methane (Co2 Equivilent)
Czech Republic,2001,14582.69667,Methane (Co2 Equivilent)
Czech Republic,2000,14896.95985,Methane (Co2 Equivilent)
Czech Republic,1999,15771.01929,Methane (Co2 Equivilent)
Czech Republic,1998,16431.88224,Methane (Co2 Equivilent)
Czech Republic,1997,17105.07974,Methane (Co2 Equivilent)
Czech Republic,1996,17564.9121,Methane (Co2 Equivilent)
Czech Republic,1995,17744.94259,Methane (Co2 Equivilent)
Czech Republic,1994,18086.82908,Methane (Co2 Equivilent)
Czech Republic,1993,19226.58993,Methane (Co2 Equivilent)
Czech Republic,1992,20139.15995,Methane (Co2 Equivilent)
Czech Republic,1991,21607.17542,Methane (Co2 Equivilent)
Czech Republic,1990,23315.04677,Methane (Co2 Equivilent)
Denmark,2014,7362.965801,Methane (Co2 Equivilent)
Denmark,2013,7380.665912,Methane (Co2 Equivilent)
Denmark,2012,7484.697802,Methane (Co2 Equivilent)
Denmark,2011,7642.002476,Methane (Co2 Equivilent)
Denmark,2010,7786.915042,Methane (Co2 Equivilent)
Denmark,2009,7736.951198,Methane (Co2 Equivilent)
Denmark,2008,7888.333617,Methane (Co2 Equivilent)
Denmark,2007,8033.118643,Methane (Co2 Equivilent)
Denmark,2006,8038.398586,Methane (Co2 Equivilent)
Denmark,2005,8148.666658,Methane (Co2 Equivilent)
Denmark,2004,8392.883431,Methane (Co2 Equivilent)
Denmark,2003,8547.445031,Methane (Co2 Equivilent)
Denmark,2002,8534.708732,Methane (Co2 Equivilent)
Denmark,2001,8611.915457,Methane (Co2 Equivilent)
Denmark,2000,8355.108293,Methane (Co2 Equivilent)
Denmark,1999,8465.651563,Methane (Co2 Equivilent)
Denmark,1998,8572.254029,Methane (Co2 Equivilent)
Denmark,1997,8506.801961,Methane (Co2 Equivilent)
Denmark,1996,8608.320974,Methane (Co2 Equivilent)
Denmark,1995,8497.613284,Methane (Co2 Equivilent)
Denmark,1994,8437.693903,Methane (Co2 Equivilent)
Denmark,1993,8570.915282,Methane (Co2 Equivilent)
Denmark,1992,8364.646101,Methane (Co2 Equivilent)
Denmark,1991,8279.662247,Methane (Co2 Equivilent)
Denmark,1990,8082.707613,Methane (Co2 Equivilent)
Estonia,2014,1102.373316,Methane (Co2 Equivilent)
Estonia,2013,1132.689799,Methane (Co2 Equivilent)
Estonia,2012,1143.205076,Methane (Co2 Equivilent)
Estonia,2011,1134.034556,Methane (Co2 Equivilent)
Estonia,2010,1182.870769,Methane (Co2 Equivilent)
Estonia,2009,1168.368399,Methane (Co2 Equivilent)
Estonia,2008,1213.681367,Methane (Co2 Equivilent)
Estonia,2007,1223.38046,Methane (Co2 Equivilent)
Estonia,2006,1192.146207,Methane (Co2 Equivilent)
Estonia,2005,1209.499749,Methane (Co2 Equivilent)
Estonia,2004,1247.51885,Methane (Co2 Equivilent)
Estonia,2003,1233.420727,Methane (Co2 Equivilent)
Estonia,2002,1229.783065,Methane (Co2 Equivilent)
Estonia,2001,1278.595462,Methane (Co2 Equivilent)
Estonia,2000,1237.386618,Methane (Co2 Equivilent)
Estonia,1999,1197.48061,Methane (Co2 Equivilent)
