Country,Year,Emission,Category
Australia,2014,20084.54283,Nitrogen Oxide (Co2 Equivilent)
Australia,2013,19756.45265,Nitrogen Oxide (Co2 Equivilent)
Australia,2012,20342.38348,Nitrogen Oxide (Co2 Equivilent)
Australia,2011,20034.57515,Nitrogen Oxide (Co2 Equivilent)
Australia,2010,19698.29882,Nitrogen Oxide (Co2 Equivilent)
Australia,2009,19607.63314,Nitrogen Oxide (Co2 Equivilent)
Australia,2008,18908.28079,Nitrogen Oxide (Co2 Equivilent)
Australia,2007,18963.11899,Nitrogen Oxide (Co2 Equivilent)
Australia,2006,20224.60649,Nitrogen Oxide (Co2 Equivilent)
Australia,2005,20405.81581,Nitrogen Oxide (Co2 Equivilent)
Australia,2004,20163.24015,Nitrogen Oxide (Co2 Equivilent)
Australia,2003,18765.2767,Nitrogen Oxide (Co2 Equivilent)
Australia,2002,19712.73233,Nitrogen Oxide (Co2 Equivilent)
Australia,2001,19182.28679,Nitrogen Oxide (Co2 Equivilent)
Australia,2000,18949.16957,Nitrogen Oxide (Co2 Equivilent)
Australia,1999,17933.43979,Nitrogen Oxide (Co2 Equivilent)
Australia,1998,17743.91311,Nitrogen Oxide (Co2 Equivilent)
Australia,1997,17201.89078,Nitrogen Oxide (Co2 Equivilent)
Australia,1996,16609.58678,Nitrogen Oxide (Co2 Equivilent)
Australia,1995,15578.19641,Nitrogen Oxide (Co2 Equivilent)
Australia,1994,15790.42685,Nitrogen Oxide (Co2 Equivilent)
Australia,1993,15374.99343,Nitrogen Oxide (Co2 Equivilent)
Australia,1992,15293.18335,Nitrogen Oxide (Co2 Equivilent)
Australia,1991,14923.40502,Nitrogen Oxide (Co2 Equivilent)
Australia,1990,15345.59786,Nitrogen Oxide (Co2 Equivilent)
Austria,2014,3427.437373,Nitrogen Oxide (Co2 Equivilent)
Austria,2013,3361.483493,Nitrogen Oxide (Co2 Equivilent)
Austria,2012,3359.69049,Nitrogen Oxide (Co2 Equivilent)
Austria,2011,3402.288059,Nitrogen Oxide (Co2 Equivilent)
Austria,2010,3330.150843,Nitrogen Oxide (Co2 Equivilent)
Austria,2009,3523.218065,Nitrogen Oxide (Co2 Equivilent)
Austria,2008,3751.892602,Nitrogen Oxide (Co2 Equivilent)
Austria,2007,3577.370164,Nitrogen Oxide (Co2 Equivilent)
Austria,2006,3567.393598,Nitrogen Oxide (Co2 Equivilent)
Austria,2005,3581.493864,Nitrogen Oxide (Co2 Equivilent)
Austria,2004,3571.721463,Nitrogen Oxide (Co2 Equivilent)
Austria,2003,4163.74847,Nitrogen Oxide (Co2 Equivilent)
Austria,2002,4174.31268,Nitrogen Oxide (Co2 Equivilent)
Austria,2001,4177.761625,Nitrogen Oxide (Co2 Equivilent)
Austria,2000,4301.70461,Nitrogen Oxide (Co2 Equivilent)
Austria,1999,4335.798196,Nitrogen Oxide (Co2 Equivilent)
Austria,1998,4347.074091,Nitrogen Oxide (Co2 Equivilent)
Austria,1997,4286.758693,Nitrogen Oxide (Co2 Equivilent)
Austria,1996,4272.75225,Nitrogen Oxide (Co2 Equivilent)
Austria,1995,4388.997183,Nitrogen Oxide (Co2 Equivilent)
Austria,1994,4279.530976,Nitrogen Oxide (Co2 Equivilent)
Austria,1993,4080.848095,Nitrogen Oxide (Co2 Equivilent)
Austria,1992,4161.616383,Nitrogen Oxide (Co2 Equivilent)
Austria,1991,4460.646665,Nitrogen Oxide (Co2 Equivilent)
Austria,1990,4293.06259,Nitrogen Oxide (Co2 Equivilent)
Belarus,2014,12678.39486,Nitrogen Oxide (Co2 Equivilent)
Belarus,2013,12799.38845,Nitrogen Oxide (Co2 Equivilent)
Belarus,2012,12824.0358,Nitrogen Oxide (Co2 Equivilent)
Belarus,2011,13041.54566,Nitrogen Oxide (Co2 Equivilent)
Belarus,2010,12439.69152,Nitrogen Oxide (Co2 Equivilent)
Belarus,2009,12507.96678,Nitrogen Oxide (Co2 Equivilent)
Belarus,2008,12276.83196,Nitrogen Oxide (Co2 Equivilent)
Belarus,2007,11709.42559,Nitrogen Oxide (Co2 Equivilent)
Belarus,2006,11769.73202,Nitrogen Oxide (Co2 Equivilent)
Belarus,2005,11203.94616,Nitrogen Oxide (Co2 Equivilent)
Belarus,2004,10899.03711,Nitrogen Oxide (Co2 Equivilent)
Belarus,2003,10578.77634,Nitrogen Oxide (Co2 Equivilent)
Belarus,2002,10134.68991,Nitrogen Oxide (Co2 Equivilent)
Belarus,2001,11338.84348,Nitrogen Oxide (Co2 Equivilent)
Belarus,2000,11350.07429,Nitrogen Oxide (Co2 Equivilent)
Belarus,1999,11251.33876,Nitrogen Oxide (Co2 Equivilent)
Belarus,1998,11702.19104,Nitrogen Oxide (Co2 Equivilent)
Belarus,1997,11732.36701,Nitrogen Oxide (Co2 Equivilent)
Belarus,1996,11451.00532,Nitrogen Oxide (Co2 Equivilent)
Belarus,1995,10752.76528,Nitrogen Oxide (Co2 Equivilent)
Belarus,1994,11472.27057,Nitrogen Oxide (Co2 Equivilent)
Belarus,1993,12816.65657,Nitrogen Oxide (Co2 Equivilent)
Belarus,1992,13232.43998,Nitrogen Oxide (Co2 Equivilent)
Belarus,1991,14693.75233,Nitrogen Oxide (Co2 Equivilent)
Belarus,1990,15074.69781,Nitrogen Oxide (Co2 Equivilent)
Belgium,2014,6278.983738,Nitrogen Oxide (Co2 Equivilent)
Belgium,2013,6280.716003,Nitrogen Oxide (Co2 Equivilent)
Belgium,2012,6470.889884,Nitrogen Oxide (Co2 Equivilent)
Belgium,2011,6564.491326,Nitrogen Oxide (Co2 Equivilent)
Belgium,2010,7759.834416,Nitrogen Oxide (Co2 Equivilent)
Belgium,2009,7229.430555,Nitrogen Oxide (Co2 Equivilent)
