Country,Year,Emission,Category
Austria,2014,10.56252,Nitrogen Trifluoride (Co2 Equivilent)
Austria,2013,9.7524,Nitrogen Trifluoride (Co2 Equivilent)
Austria,2012,8.56388,Nitrogen Trifluoride (Co2 Equivilent)
Austria,2011,4.1022,Nitrogen Trifluoride (Co2 Equivilent)
Austria,2010,4.11596,Nitrogen Trifluoride (Co2 Equivilent)
Austria,2009,4.5408,Nitrogen Trifluoride (Co2 Equivilent)
Austria,2008,53.47136,Nitrogen Trifluoride (Co2 Equivilent)
Austria,2007,59.3916,Nitrogen Trifluoride (Co2 Equivilent)
Austria,2006,32.7316,Nitrogen Trifluoride (Co2 Equivilent)
Austria,2005,28.1564,Nitrogen Trifluoride (Co2 Equivilent)
Austria,2004,26.5396,Nitrogen Trifluoride (Co2 Equivilent)
Austria,2003,21.555384,Nitrogen Trifluoride (Co2 Equivilent)
Austria,2002,10.5092,Nitrogen Trifluoride (Co2 Equivilent)
Austria,2001,10.5092,Nitrogen Trifluoride (Co2 Equivilent)
Austria,2000,10.5092,Nitrogen Trifluoride (Co2 Equivilent)
Austria,1999,8.236693878,Nitrogen Trifluoride (Co2 Equivilent)
Austria,1998,9.430603636,Nitrogen Trifluoride (Co2 Equivilent)
Austria,1997,15.52644,Nitrogen Trifluoride (Co2 Equivilent)
Austria,1996,7.92576,Nitrogen Trifluoride (Co2 Equivilent)
Austria,1995,6.43968,Nitrogen Trifluoride (Co2 Equivilent)
Austria,1994,0.75852,Nitrogen Trifluoride (Co2 Equivilent)
Belgium,2014,0.68972,Nitrogen Trifluoride (Co2 Equivilent)
Belgium,2013,1.24184,Nitrogen Trifluoride (Co2 Equivilent)
Belgium,2012,1.118,Nitrogen Trifluoride (Co2 Equivilent)
Belgium,2011,2.47508,Nitrogen Trifluoride (Co2 Equivilent)
Belgium,2010,1.3244,Nitrogen Trifluoride (Co2 Equivilent)
Belgium,2009,0.5676,Nitrogen Trifluoride (Co2 Equivilent)
Belgium,2008,0.6708,Nitrogen Trifluoride (Co2 Equivilent)
Canada,2014,0.151044896,Nitrogen Trifluoride (Co2 Equivilent)
Canada,2013,0.151044896,Nitrogen Trifluoride (Co2 Equivilent)
Canada,2012,0.151044896,Nitrogen Trifluoride (Co2 Equivilent)
Canada,2011,0.151044896,Nitrogen Trifluoride (Co2 Equivilent)
Canada,2010,0.151044896,Nitrogen Trifluoride (Co2 Equivilent)
Canada,2009,0.159715359,Nitrogen Trifluoride (Co2 Equivilent)
Canada,2008,0.168385821,Nitrogen Trifluoride (Co2 Equivilent)
Canada,2007,0.177056284,Nitrogen Trifluoride (Co2 Equivilent)
Canada,2006,0.185726747,Nitrogen Trifluoride (Co2 Equivilent)
Canada,2005,0.194397209,Nitrogen Trifluoride (Co2 Equivilent)
Canada,2004,0.203067672,Nitrogen Trifluoride (Co2 Equivilent)
Canada,2003,0.211738135,Nitrogen Trifluoride (Co2 Equivilent)
Canada,2002,0.220408597,Nitrogen Trifluoride (Co2 Equivilent)
Canada,2001,0.22907906,Nitrogen Trifluoride (Co2 Equivilent)
Canada,2000,0.237749523,Nitrogen Trifluoride (Co2 Equivilent)
Canada,1999,0.246419985,Nitrogen Trifluoride (Co2 Equivilent)
Canada,1998,0.255090448,Nitrogen Trifluoride (Co2 Equivilent)
Canada,1997,0.263760911,Nitrogen Trifluoride (Co2 Equivilent)
Canada,1996,0.272431373,Nitrogen Trifluoride (Co2 Equivilent)
Canada,1995,0.281101836,Nitrogen Trifluoride (Co2 Equivilent)
Canada,1994,0.289772299,Nitrogen Trifluoride (Co2 Equivilent)
Canada,1993,0.298442761,Nitrogen Trifluoride (Co2 Equivilent)
Canada,1992,0.307113224,Nitrogen Trifluoride (Co2 Equivilent)
Canada,1991,0.315783687,Nitrogen Trifluoride (Co2 Equivilent)
Canada,1990,0.324454149,Nitrogen Trifluoride (Co2 Equivilent)
Czech Republic,2014,2.35296,Nitrogen Trifluoride (Co2 Equivilent)
Czech Republic,2013,3.82356,Nitrogen Trifluoride (Co2 Equivilent)
Czech Republic,2012,1.7974,Nitrogen Trifluoride (Co2 Equivilent)
European Union,2014,74.33922408,Nitrogen Trifluoride (Co2 Equivilent)
European Union,2013,68.49299196,Nitrogen Trifluoride (Co2 Equivilent)
European Union,2012,93.12903844,Nitrogen Trifluoride (Co2 Equivilent)
European Union,2011,127.2213342,Nitrogen Trifluoride (Co2 Equivilent)
European Union,2010,119.4461912,Nitrogen Trifluoride (Co2 Equivilent)
European Union,2009,77.36960434,Nitrogen Trifluoride (Co2 Equivilent)
European Union,2008,149.1506324,Nitrogen Trifluoride (Co2 Equivilent)
European Union,2007,163.0367675,Nitrogen Trifluoride (Co2 Equivilent)
European Union,2006,141.0234269,Nitrogen Trifluoride (Co2 Equivilent)
European Union,2005,155.9654464,Nitrogen Trifluoride (Co2 Equivilent)
European Union,2004,132.4252717,Nitrogen Trifluoride (Co2 Equivilent)
European Union,2003,146.820605,Nitrogen Trifluoride (Co2 Equivilent)
European Union,2002,133.9448416,Nitrogen Trifluoride (Co2 Equivilent)
European Union,2001,82.36908254,Nitrogen Trifluoride (Co2 Equivilent)
European Union,2000,115.8132761,Nitrogen Trifluoride (Co2 Equivilent)
European Union,1999,60.7909614,Nitrogen Trifluoride (Co2 Equivilent)
European Union,1998,116.8186736,Nitrogen Trifluoride (Co2 Equivilent)
European Union,1997,103.4223747,Nitrogen Trifluoride (Co2 Equivilent)
European Union,1996,69.4206446,Nitrogen Trifluoride (Co2 Equivilent)
European Union,1995,43.48108363,Nitrogen Trifluoride (Co2 Equivilent)
European Union,1994,32.49403011,Nitrogen Trifluoride (Co2 Equivilent)
European Union,1993,29.4472286,Nitrogen Trifluoride (Co2 Equivilent)
European Union,1992,27.37071481,Nitrogen Trifluoride (Co2 Equivilent)
European Union,1991,25.48622903,Nitrogen Trifluoride (Co2 Equivilent)
European Union,1990,23.77588973,Nitrogen Trifluoride (Co2 Equivilent)
France,2014,10.6296,Nitrogen Trifluoride (Co2 Equivilent)
France,2013,10.6296,Nitrogen Trifluoride (Co2 Equivilent)
France,2012,20.3992,Nitrogen Trifluoride (Co2 Equivilent)
France,2011,31.3556,Nitrogen Trifluoride (Co2 Equivilent)
France,2010,32.1296,Nitrogen Trifluoride (Co2 Equivilent)
France,2009,24.9572,Nitrogen Trifluoride (Co2 Equivilent)
France,2008,46.354,Nitrogen Trifluoride (Co2 Equivilent)
France,2007,42.1056,Nitrogen Trifluoride (Co2 Equivilent)
France,2006,29.756,Nitrogen Trifluoride (Co2 Equivilent)
France,2005,31.2696,Nitrogen Trifluoride (Co2 Equivilent)
France,2004,35.54482018,Nitrogen Trifluoride (Co2 Equivilent)
France,2003,30.46698873,Nitrogen Trifluoride (Co2 Equivilent)
France,2002,35.54482018,Nitrogen Trifluoride (Co2 Equivilent)
France,2001,28.44569444,Nitrogen Trifluoride (Co2 Equivilent)
France,2000,19.89169383,Nitrogen Trifluoride (Co2 Equivilent)
France,1999,28.40959249,Nitrogen Trifluoride (Co2 Equivilent)
France,1998,89.6997888,Nitrogen Trifluoride (Co2 Equivilent)
France,1997,72.8315424,Nitrogen Trifluoride (Co2 Equivilent)
France,1996,48.594816,Nitrogen Trifluoride (Co2 Equivilent)
France,1995,26.5426272,Nitrogen Trifluoride (Co2 Equivilent)
France,1994,24.12966109,Nitrogen Trifluoride (Co2 Equivilent)
France,1993,21.93605554,Nitrogen Trifluoride (Co2 Equivilent)
France,1992,19.94186867,Nitrogen Trifluoride (Co2 Equivilent)
France,1991,18.12897152,Nitrogen Trifluoride (Co2 Equivilent)
France,1990,16.4808832,Nitrogen Trifluoride (Co2 Equivilent)
Germany,2014,20.2788,Nitrogen Trifluoride (Co2 Equivilent)
Germany,2013,16.0304,Nitrogen Trifluoride (Co2 Equivilent)
Germany,2012,35.20700009,Nitrogen Trifluoride (Co2 Equivilent)
Germany,2011,61.20666664,Nitrogen Trifluoride (Co2 Equivilent)
Germany,2010,61.43366673,Nitrogen Trifluoride (Co2 Equivilent)
Germany,2009,29.08133327,Nitrogen Trifluoride (Co2 Equivilent)
